Equipment,Fraction of equipment capacity utilized ,Rated motor capacity (kW)
vacuum,0.85,5
disc_screen1,0.85,8.5
disc_screen2,0.85,5.5
glass_breaker,0.85,30
nir_hdpe,0.85,13
nir_pet,0.85,40
magnet,0.85,4
eddy,0.85,9
rolling_stock,0.85,0
