Year,seed,sobol,scenario,recycling,trash,wishcycling
1,0,FALSE,Oklahoma,0.109011243,0.858989198,0.031999559
1,0,FALSE,Oregon,0.713817088,0.111950278,0.174232633
1,0,FALSE,Pennsylvania,0.198786047,0.747863656,0.053350297
1,0,FALSE,Rhode Island,0.425898693,0.493327887,0.08077342
1,0,FALSE,South Carolina,0.076262229,0.898611111,0.02512666
1,0,FALSE,South Dakota,0.211894319,0.735192147,0.052913534
1,0,FALSE,Tennessee,0.086922205,0.89035409,0.022723705
1,0,FALSE,Texas,0.164756665,0.785708535,0.049534801
1,0,FALSE,Utah,0.200975076,0.734156202,0.064868721
1,0,FALSE,Vermont,0.571438038,0.310122598,0.118439364
1,0,FALSE,Virginia,0.147333892,0.816838824,0.035827285
1,0,FALSE,Washington,0.29963086,0.636194168,0.064174972
1,0,FALSE,West Virginia,0.151778492,0.811265763,0.036955746
1,0,FALSE,Wisconsin,0.26740566,0.669868973,0.062725367
1,0,FALSE,Wyoming,0.152978286,0.79137813,0.055643584
2,0,FALSE,Alabama,0.096459596,0.864489899,0.039050505
2,0,FALSE,Alaska,0.061684028,0.916591435,0.021724537
2,0,FALSE,Arizona,0.204452483,0.738428903,0.057118614
2,0,FALSE,Arkansas,0.096688034,0.871525234,0.031786732
2,0,FALSE,California,0.606308685,0.254861111,0.138830203
2,0,FALSE,Colorado,0.116504065,0.840257453,0.043238482
2,0,FALSE,Connecticut,0.524089592,0.353781295,0.122129112
2,0,FALSE,Delaware,0.141358507,0.818415799,0.040225694
2,0,FALSE,Florida,0.113360949,0.84597141,0.040667641
2,0,FALSE,Georgia,0.12441053,0.836777293,0.038812177
2,0,FALSE,Hawaii,0.488779033,0.397902281,0.113318686
2,0,FALSE,Idaho,0.158026559,0.798382081,0.04359136
2,0,FALSE,Illinois,0.153463988,0.809574001,0.036962011
2,0,FALSE,Indiana,0.206954733,0.736790123,0.056255144
2,0,FALSE,Iowa,0.343552812,0.570010288,0.0864369
2,0,FALSE,Kansas,0.218301326,0.727914952,0.053783722
2,0,FALSE,Kentucky,0.117514565,0.844392426,0.038093009
2,0,FALSE,Louisiana,0.089134952,0.883327865,0.027537183
2,0,FALSE,Maine,0.792631691,0.053929409,0.1534389
2,0,FALSE,Maryland,0.368520149,0.557922535,0.073557316
2,0,FALSE,Massachusetts,0.419088721,0.489689266,0.091222013
2,0,FALSE,Michigan,0.627044674,0.232061856,0.140893471
2,0,FALSE,Minnesota,0.280576285,0.649751244,0.069672471
2,0,FALSE,Mississippi,0.096857572,0.86727263,0.035869798
2,0,FALSE,Missouri,0.125379254,0.827752153,0.046868594
