,name,State,State_County,latitude (deg),longitude (deg),2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0
0,Abbeville,South Carolina,South Carolina_Abbeville,34.213809,-82.46046,1.9567413592839422,1.9765553556534472,1.9962714406589124,2.015834597438639,2.0351832817066593,2.0543403394479163,2.0732516862898924,2.091941566951304,2.1104402873305412,2.1286867693862295,2.146674019449507,2.1643712653773908,2.18176405358757,2.1989036709850187,2.215744891844441,2.2322737288281176,2.248500439317043,2.264470249036512,2.2802414385603575,2.295810744176445,2.3111781658847743,2.3263506973542056,2.341414593834012,2.3563470093392507,2.3711698573656825,2.385886867870034,2.4004924459172163
1,Acadia,Louisiana,Louisiana_Acadia,30.291497,-92.411037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Accomack,Virginia,Virginia_Accomack,37.765944,-75.757807,3.266011447862412,3.306200671258525,3.3464450521279,3.3865664230767436,3.426617315031972,3.466612611756213,3.50654662239905,3.5464893881963726,3.5864851226783387,3.626520255355492,3.6665046081366253,3.7064351167176675,3.7462246673114805,3.7858745731912373,3.825324423790984,3.8645886651156185,3.903658542010659,3.94269383604548,3.981794793738947,4.0209290210194615,4.060107024072407,4.099296408826185,4.138847819217973,4.178738054088377,4.219017893333423,4.259748185276788,4.3009779587835935
3,Ada,Idaho,Idaho_Ada,43.447861,-116.244456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Adair,Iowa,Iowa_Adair,41.328528,-94.478164,5.031711896672461,5.047005492695827,5.061654147370965,5.07523185996523,5.087582486783788,5.098707725040714,5.1084565226833965,5.1168051187147965,5.123868923691962,5.129527435415623,5.1336822154694675,5.136414730129063,5.137565441271428,5.137180173676565,5.1351435167874255,5.131538634093648,5.12642832251598,5.1197786377729395,5.111800034409735,5.102538337206372,5.091996940590999,5.0801385058539825,5.067928747803591,5.055343905442779,5.042353428918217,5.029171167203259,5.015559510327509
5,Adair,Kentucky,Kentucky_Adair,37.105541,-85.281401,6.578326024916354,6.613889885081537,6.648653093729178,6.682139072575024,6.7144463144644835,6.745589116746086,6.77554047331706,6.804530730348123,6.832752107747262,6.860107701263341,6.886605453867767,6.912272371663312,6.937090980112887,6.961072399376463,6.984318299488004,7.006815971693275,7.028625782574937,7.049930420475295,7.070958642970783,7.091638963318771,7.112020627941959,7.132251376108467,7.152618743383126,7.1731227297659395,7.193826879028138,7.21478043759243,7.2360437720414845
6,Adair,Missouri,Missouri_Adair,40.190666,-92.603592,13.201753034374292,13.275268039393344,13.348976468593994,13.422012518496715,13.494390005114484,13.56599149233704,13.636584410612715,13.706424356181463,13.775674818530112,13.843866053217647,13.910691805289877,13.976177404103913,14.039922185283588,14.101914635484771,14.161965935863517,14.220048454393883,14.276275021848477,14.330993341220392,14.385041583963211,14.438081257759137,14.490441644250657,14.542196428840276,14.594241349702294,14.646449760051128,14.699196994905835,14.752522199636502,14.806558929035177
7,Adair,Oklahoma,Oklahoma_Adair,35.8975,-94.651671,1.4815515351223918,1.4875288905280362,1.493550600867786,1.4995326029808123,1.5054761641509475,1.5113483349985704,1.5171567192266695,1.5229849575681307,1.5288820516644404,1.5348019568697193,1.540751009603125,1.5468018674710016,1.5528941232773754,1.559054389982712,1.5652801330193467,1.571599232631575,1.5780598456049972,1.5847143530046517,1.591636257292771,1.5988335846002875,1.6063211199052376,1.6140946389281816,1.6218985727630846,1.6297025065979864,1.6374988367298997,1.645318822826669,1.6530665737450374
8,Adams,Colorado,Colorado_Adams,39.874325,-104.331872,170.76474545307278,172.37179533270677,173.97951708714527,175.57704874038203,177.17069845030383,178.75826396060702,180.34441106854507,181.9373889036624,183.54705162975839,185.1729513302967,186.817215608825,188.4792845696728,190.15941949748637,191.85399973359694,193.56694454769746,195.29564109332597,197.0409852035551,198.80689614807784,200.6017723619507,202.42389683178422,204.27162719694522,206.14623255428668,208.0668613357371,210.02993020900584,212.03920913827366,214.1003344066229,216.20770705734932
9,Adams,Idaho,Idaho_Adams,44.884583,-116.431873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Adams,Illinois,Illinois_Adams,39.986053,-91.194961,6.841046516178708,6.8675023837625275,6.893240640940318,6.917820014093905,6.941326486685651,6.963806024717453,6.985152635996709,7.0058038087061405,7.026058592246304,7.04567634107788,7.064624067834796,7.082667616295645,7.099813475778345,7.115896168676077,7.131005463886654,7.145081335219372,7.1581070186029505,7.17032045569425,7.182051520153916,7.193257490639015,7.203992985575319,7.214232588467672,7.224368362273392,7.2344597924067,7.244429547829113,7.25430899357722,7.264192224760772
