Year,seed,sobol,scenario,intervention_scenario,RunId,iteration,Step,Seed,recycling,trash,wishcycling
0,0,False,Alabama,baseline,2,0,4,0,0.10036363636363636,0.8597575757575756,0.03987878787878788
0,0,False,Alaska,baseline,0,0,4,0,0.06131944444444445,0.9177083333333332,0.020972222222222222
0,0,False,Arizona,baseline,5,0,4,0,0.21361200428724544,0.7230975348338693,0.06329046087888532
0,0,False,Arkansas,baseline,1,0,4,0,0.0974969474969475,0.8682539682539683,0.03424908424908425
0,0,False,California,baseline,3,0,4,0,0.6058098591549296,0.25768779342723,0.13650234741784037
0,0,False,Colorado,baseline,4,0,4,0,0.12411924119241192,0.8337669376693767,0.04211382113821138
0,0,False,Connecticut,baseline,6,0,4,0,0.5147734326505277,0.3581626319056486,0.12706393544382372
0,0,False,Delaware,baseline,8,0,4,0,0.13640625,0.82046875,0.043125
0,0,False,Florida,baseline,9,0,4,0,0.11564327485380117,0.8473196881091618,0.037037037037037035
0,0,False,Georgia,baseline,10,0,4,0,0.13420542635658914,0.8311046511627908,0.03468992248062015
0,0,False,Hawaii,baseline,7,0,4,0,0.48185812931575644,0.4056497175141243,0.11249215317011928
0,0,False,Idaho,baseline,11,0,4,0,0.16747352496217852,0.7918809884014119,0.04064548663640948
0,0,False,Illinois,baseline,12,0,4,0,0.161133069828722,0.8009881422924902,0.03787878787878788
0,0,False,Indiana,baseline,14,0,4,0,0.20932098765432103,0.7281481481481481,0.06253086419753086
0,0,False,Iowa,baseline,13,0,4,0,0.34561042524005486,0.5680384087791496,0.0863511659807956
0,0,False,Kansas,baseline,15,0,4,0,0.2223593964334705,0.7214677640603565,0.056172839506172835
0,0,False,Kentucky,baseline,17,0,4,0,0.11916354556803994,0.837952559300874,0.04288389513108614
0,0,False,Louisiana,baseline,16,0,4,0,0.09717847769028871,0.876246719160105,0.026574803149606297
0,0,False,Maine,baseline,18,0,4,0,0.78042226487524,0.04555342290467051,0.1740243122200896
0,0,False,Maryland,baseline,21,0,4,0,0.3756455399061032,0.5527582159624413,0.0715962441314554
0,0,False,Massachusetts,baseline,20,0,4,0,0.4086001255492781,0.4995605775266792,0.09183929692404269
0,0,False,Michigan,baseline,19,0,4,0,0.62446735395189,0.2434364261168385,0.1320962199312715
0,0,False,Minnesota,baseline,23,0,4,0,0.29583333333333334,0.6290422885572139,0.07512437810945273
0,0,False,Mississippi,baseline,22,0,4,0,0.09806949806949807,0.8646074646074645,0.03732303732303732
0,0,False,Missouri,baseline,24,0,4,0,0.12915129151291513,0.8187576875768757,0.0520910209102091
0,0,False,Montana,baseline,25,0,4,0,0.16952010376134888,0.7845006485084306,0.045979247730220496
0,0,False,Nebraska,baseline,26,0,4,0,0.18673758865248227,0.7719858156028369,0.04127659574468085
0,0,False,Nevada,baseline,28,0,4,0,0.20622589531680444,0.7480440771349862,0.045730027548209366
0,0,False,New Hampshire,baseline,29,0,4,0,0.37638650657518574,0.5357347055460263,0.08787878787878788
0,0,False,New Jersey,baseline,27,0,4,0,0.26266924564796906,0.6729206963249516,0.0644100580270793
0,0,False,New Mexico,baseline,30,0,4,0,0.15131498470948013,0.8083792048929664,0.040305810397553515
0,0,False,New York,baseline,31,0,4,0,0.5798336798336798,0.3030492030492031,0.1171171171171171
0,0,False,North Carolina,baseline,32,0,4,0,0.1280163599182004,0.8354805725971369,0.036503067484662574
0,0,False,North Dakota,baseline,35,0,4,0,0.21601423487544483,0.7190984578884935,0.06488730723606169
0,0,False,Ohio,baseline,33,0,4,0,0.1388671875,0.8217447916666667,0.039388020833333336
0,0,False,Oklahoma,baseline,34,0,4,0,0.11216931216931218,0.8560185185185185,0.03181216931216931
0,0,False,Oregon,baseline,37,0,4,0,0.7092622509423802,0.10683898761443188,0.18389876144318792
0,0,False,Pennsylvania,baseline,36,0,4,0,0.19370229007633588,0.754643765903308,0.05165394402035623
0,0,False,Rhode Island,baseline,38,0,4,0,0.44712418300653595,0.47398692810457516,0.07888888888888888
0,0,False,South Carolina,baseline,40,0,4,0,0.07672955974842767,0.8977463312368973,0.025524109014675053
0,0,False,South Dakota,baseline,39,0,4,0,0.2105889724310777,0.7390350877192983,0.05037593984962405
0,0,False,Tennessee,baseline,41,0,4,0,0.0847723704866562,0.891941391941392,0.02328623757195186
0,0,False,Texas,baseline,42,0,4,0,0.1668276972624799,0.7844337090713903,0.0487385936661299
0,0,False,Utah,baseline,43,0,4,0,0.21141552511415526,0.7236872146118721,0.0648972602739726
0,0,False,Vermont,baseline,44,0,4,0,0.56129887342611,0.3165009940357853,0.1222001325381047
0,0,False,Virginia,baseline,46,0,4,0,0.14952540480178672,0.8143495254048018,0.0361250697934115
0,0,False,Washington,baseline,47,0,4,0,0.31196013289036545,0.6255260243632337,0.06251384274640089
0,0,False,West Virginia,baseline,45,0,4,0,0.16716630977872948,0.7932905067808708,0.03954318344039971
0,0,False,Wisconsin,baseline,48,0,4,0,0.2640880503144654,0.6740251572327044,0.061886792452830186
0,0,False,Wyoming,baseline,49,0,4,0,0.15475352112676055,0.7948356807511737,0.050410798122065725
1,0,False,Alabama,baseline,2,0,16,0,0.0961868686868687,0.8662777777777778,0.03753535353535353
1,0,False,Alaska,baseline,0,0,16,0,0.06336226851851852,0.9148148148148149,0.021822916666666668
1,0,False,Arizona,baseline,5,0,16,0,0.20744908896034298,0.7344765987852805,0.058074312254376564
1,0,False,Arkansas,baseline,1,0,16,0,0.09644383394383395,0.8727309727309728,0.030825193325193328
1,0,False,California,baseline,3,0,16,0,0.6065483176838811,0.25124217527386544,0.14220950704225352
1,0,False,Colorado,baseline,4,0,16,0,0.12158988256549232,0.8357000903342366,0.042710027100271004
1,0,False,Connecticut,baseline,6,0,16,0,0.5181564245810056,0.3563469894475481,0.1254965859714463
1,0,False,Delaware,baseline,8,0,16,0,0.14463541666666666,0.8152994791666667,0.040065104166666664
1,0,False,Florida,baseline,9,0,16,0,0.11584226770630279,0.8448058804418453,0.03935185185185185
1,0,False,Georgia,baseline,10,0,16,0,0.13004279715762274,0.8328690245478038,0.03708817829457364
1,0,False,Hawaii,baseline,7,0,16,0,0.4922002510985562,0.3948838669177652,0.11291588198367859
1,0,False,Idaho,baseline,11,0,16,0,0.16437216338880484,0.7911245587493697,0.044503277861825515
1,0,False,Illinois,baseline,12,0,16,0,0.1636308739569609,0.7997584541062802,0.03661067193675889
1,0,False,Indiana,baseline,14,0,16,0,0.20869855967078188,0.7335493827160494,0.05775205761316873
1,0,False,Iowa,baseline,13,0,16,0,0.3438614540466392,0.5666552354823959,0.08948331047096479
1,0,False,Kansas,baseline,15,0,16,0,0.22063328760859624,0.7251371742112482,0.05422953818015546
1,0,False,Kentucky,baseline,17,0,16,0,0.11514253017062005,0.845167498959634,0.03968997086974615
1,0,False,Louisiana,baseline,16,0,16,0,0.09447725284339457,0.8782261592300963,0.027296587926509186
1,0,False,Maine,baseline,18,0,16,0,0.7848688419705695,0.05205800810407337,0.1630731499253572
1,0,False,Maryland,baseline,21,0,16,0,0.3727601721439749,0.5498435054773083,0.07739632237871674
1,0,False,Massachusetts,baseline,20,0,16,0,0.4141609123247541,0.49084536513915045,0.09499372253609543
1,0,False,Michigan,baseline,19,0,16,0,0.619553264604811,0.2347537227949599,0.1456930126002291
1,0,False,Minnesota,baseline,23,0,16,0,0.2906612769485904,0.6362095771144278,0.07312914593698176
1,0,False,Mississippi,baseline,22,0,16,0,0.09979086229086227,0.8650686400686401,0.03514049764049764
1,0,False,Missouri,baseline,24,0,16,0,0.1258968839688397,0.8254766297662975,0.04862648626486265
1,0,False,Montana,baseline,25,0,16,0,0.16721249459576307,0.7875810635538262,0.04520644185041072
1,0,False,Nebraska,baseline,26,0,16,0,0.176016548463357,0.7823936170212766,0.04158983451536643
1,0,False,Nevada,baseline,28,0,16,0,0.19593204775022957,0.7555785123966943,0.048489439853076216
1,0,False,New Hampshire,baseline,29,0,16,0,0.36061082523346677,0.5596483704974271,0.07974080426910615
1,0,False,New Jersey,baseline,27,0,16,0,0.260240704921556,0.676719320868257,0.06303997421018698
1,0,False,New Mexico,baseline,30,0,16,0,0.14575433231396534,0.8184607543323139,0.03578491335372069
1,0,False,New York,baseline,31,0,16,0,0.5958939708939709,0.2932028182028182,0.11090321090321091
1,0,False,North Carolina,baseline,32,0,16,0,0.13215746421267893,0.830095432856169,0.037747102931152014
1,0,False,North Dakota,baseline,35,0,16,0,0.20270858046658757,0.7363780150257019,0.060913404507710565
1,0,False,Ohio,baseline,33,0,16,0,0.1478515625,0.8162217881944445,0.03592664930555556
1,0,False,Oklahoma,baseline,34,0,16,0,0.10901124338624339,0.8589891975308642,0.03199955908289242
1,0,False,Oregon,baseline,37,0,16,0,0.7138170884939866,0.11195027822653024,0.17423263327948305
1,0,False,Pennsylvania,baseline,36,0,16,0,0.19878604749787956,0.7478636556403732,0.05335029686174724
1,0,False,Rhode Island,baseline,38,0,16,0,0.4258986928104575,0.4933278867102396,0.08077342047930283
1,0,False,South Carolina,baseline,40,0,16,0,0.07626222921034241,0.8986111111111111,0.025126659678546475
1,0,False,South Dakota,baseline,39,0,16,0,0.21189431913116122,0.7351921470342523,0.05291353383458647
1,0,False,Tennessee,baseline,41,0,16,0,0.08692220477934763,0.8903540903540903,0.02272370486656201
1,0,False,Texas,baseline,42,0,16,0,0.16475666487743781,0.7857085346215781,0.04953480050098408
1,0,False,Utah,baseline,43,0,16,0,0.20097507610350077,0.734156202435312,0.06486872146118722
1,0,False,Vermont,baseline,44,0,16,0,0.5714380384360503,0.31012259774685225,0.11843936381709741
1,0,False,Virginia,baseline,46,0,16,0,0.14733389168062536,0.8168388237483715,0.03582728457100316
1,0,False,Washington,baseline,47,0,16,0,0.2996308600959764,0.6361941675895164,0.0641749723145072
1,0,False,West Virginia,baseline,45,0,16,0,0.15177849155365214,0.8112657625505592,0.03695574589578872
1,0,False,Wisconsin,baseline,48,0,16,0,0.26740566037735847,0.6698689727463313,0.06272536687631028
1,0,False,Wyoming,baseline,49,0,16,0,0.15297828638497651,0.7913781298904539,0.055643583724569644
2,0,False,Alabama,baseline,2,0,28,0,0.09645959595959595,0.8644898989898989,0.03905050505050505
2,0,False,Alaska,baseline,0,0,28,0,0.06168402777777778,0.9165914351851852,0.02172453703703704
2,0,False,Arizona,baseline,5,0,28,0,0.20445248302965344,0.738428903179707,0.05711861379063951
2,0,False,Arkansas,baseline,1,0,28,0,0.09668803418803419,0.8715252340252341,0.03178673178673179
2,0,False,California,baseline,3,0,28,0,0.6063086854460094,0.2548611111111111,0.1388302034428795
2,0,False,Colorado,baseline,4,0,28,0,0.1165040650406504,0.8402574525745258,0.04323848238482384
2,0,False,Connecticut,baseline,6,0,28,0,0.5240895923856818,0.3537812952617421,0.12212911235257602
2,0,False,Delaware,baseline,8,0,28,0,0.14135850694444443,0.818415798611111,0.040225694444444446
2,0,False,Florida,baseline,9,0,28,0,0.11336094866796621,0.8459714100064977,0.04066764132553606
2,0,False,Georgia,baseline,10,0,28,0,0.12441052971576227,0.8367772932816537,0.03881217700258398
2,0,False,Hawaii,baseline,7,0,28,0,0.48877903327055866,0.39790228081188533,0.11331868591755596
2,0,False,Idaho,baseline,11,0,28,0,0.1580265590855606,0.7983820810220205,0.04359135989241889
2,0,False,Illinois,baseline,12,0,28,0,0.15346398770311814,0.8095740008783489,0.036962011418533156
2,0,False,Indiana,baseline,14,0,28,0,0.20695473251028806,0.7367901234567901,0.05625514403292181
2,0,False,Iowa,baseline,13,0,28,0,0.34355281207133065,0.5700102880658436,0.08643689986282581
2,0,False,Kansas,baseline,15,0,28,0,0.2183013260173754,0.7279149519890261,0.053783721993598536
2,0,False,Kentucky,baseline,17,0,28,0,0.11751456512692467,0.8443924261339991,0.03809300873907615
2,0,False,Louisiana,baseline,16,0,28,0,0.08913495188101488,0.8833278652668416,0.027537182852143478
2,0,False,Maine,baseline,18,0,28,0,0.7926316911921519,0.05392940925570485,0.15343889955214332
2,0,False,Maryland,baseline,21,0,28,0,0.3685201486697965,0.5579225352112676,0.07355731611893583
2,0,False,Massachusetts,baseline,20,0,28,0,0.4190887214898515,0.48968926553672315,0.0912220129734254
2,0,False,Michigan,baseline,19,0,28,0,0.6270446735395189,0.2320618556701031,0.140893470790378
2,0,False,Minnesota,baseline,23,0,28,0,0.28057628524046435,0.6497512437810945,0.06967247097844113
2,0,False,Mississippi,baseline,22,0,28,0,0.09685757185757186,0.8672726297726298,0.03586979836979837
