product,process,conjoined_flownames,location
"Acetic acid, at plant","Acetic acid, at plant@Acetic acid, at plant","Acetic acid, at plant@Acetic acid, at plant@Northern America",Northern America
"Acrylonitrile, at plant","Acrylonitrile, at plant@Acrylonitrile, at plant","Acrylonitrile, at plant@Acrylonitrile, at plant@Northern America",Northern America
"Acrylonitrile-butadiene-styrene, ABS, copolymer resin, at plant","Acrylonitrile-butadiene-styrene, ABS, copolymer resin, at plant@Acrylonitrile-butadiene-styrene, ABS, copolymer resin, at plant","Acrylonitrile-butadiene-styrene, ABS, copolymer resin, at plant@Acrylonitrile-butadiene-styrene, ABS, copolymer resin, at plant@Northern America",Northern America
"Alumimum scrap, at lost foam casting","Alumimum scrap, at lost foam casting@Lost foam casting, aluminum","Alumimum scrap, at lost foam casting@Lost foam casting, aluminum@Northern America",Northern America
"Alumina, at plant","Alumina, at plant@Northern America","Alumina, at plant@Alumina, at plant@Northern America",Northern America
"Aluminium, extrusion, at plant","Aluminium, extrusion, at plant@Aluminum, extrusion, at plant","Aluminium, extrusion, at plant@Aluminum, extrusion, at plant@Northern America",Northern America
"Aluminum ingot, production mix, at plant","Aluminum ingot, production mix, at plant@United States","Aluminum ingot, production mix, at plant@Aluminum ingot, production mix, at plant@United States",United States
"Aluminum recovery, transport, to plant","Aluminum recovery, transport, to plant@Northern America","Aluminum recovery, transport, to plant@Aluminum recovery, transport, to plant@Northern America",Northern America
"Aluminum scrap, at precision sand casting","Aluminum scrap, at precision sand casting@Precision sand casting, aluminum","Aluminum scrap, at precision sand casting@Precision sand casting, aluminum@Northern America",Northern America
"Aluminum scrap, at semi-permanent mold casting","Aluminum scrap, at semi-permanent mold casting@Semi-permanent mold (SPM) casting, aluminum","Aluminum scrap, at semi-permanent mold casting@Semi-permanent mold (SPM) casting, aluminum@Northern America",Northern America
"Aluminum, cast, lost foam, at plant","Aluminum, cast, lost foam, at plant@Lost foam casting, aluminum","Aluminum, cast, lost foam, at plant@Lost foam casting, aluminum@Northern America",Northern America
"Aluminum, cast, precision sand casting","Aluminum, cast, precision sand casting@Precision sand casting, aluminum","Aluminum, cast, precision sand casting@Precision sand casting, aluminum@Northern America",Northern America
"Aluminum, cast, semi-permanent mold (SPM), at plant","Aluminum, cast, semi-permanent mold (SPM), at plant@Semi-permanent mold (SPM) casting, aluminum","Aluminum, cast, semi-permanent mold (SPM), at plant@Semi-permanent mold (SPM) casting, aluminum@Northern America",Northern America
"Aluminum, cold rolling, at plant","Aluminum, cold rolling, at plant@Aluminum, cold rolling, at plant","Aluminum, cold rolling, at plant@Aluminum, cold rolling, at plant@Northern America",Northern America
"Aluminum, hot rolling, at plant","Aluminum, hot rolling, at plant@Aluminum, hot rolling, at plant","Aluminum, hot rolling, at plant@Aluminum, hot rolling, at plant@Northern America",Northern America
"Aluminum, primary, ingot, at plant, 1998","Aluminum, primary, ingot, at plant, 1998@Northern America","Aluminum, primary, ingot, at plant@Aluminum, primary, ingot, at plant, 1998@Northern America",Northern America
"Aluminum, primary, ingot, at plant","Aluminum, primary, ingot, at plant@Aluminum, primary ingot, at plant","Aluminum, primary, ingot, at plant@Aluminum, primary ingot, at plant@Northern America",Northern America
"Aluminum, primary, smelt, at plant","Aluminum, primary, smelt, at plant@Northern America","Aluminum, primary, smelt, at plant@Aluminum, primary, smelt, at plant@Northern America",Northern America
"Aluminum, secondary, extruded","Aluminum, secondary, extruded@Northern America","Aluminum, secondary, extruded@Aluminum, secondary, extruded@Northern America",Northern America
"Aluminum, secondary, ingot, at plant, 1998","Aluminum, secondary, ingot, at plant, 1998@Northern America","Aluminum, secondary, ingot, at plant@Aluminum, secondary, ingot, at plant, 1998@Northern America",Northern America
"Aluminum, secondary, ingot, at plant","Aluminum, secondary, ingot, at plant@Aluminum, secondary ingot, at plant","Aluminum, secondary, ingot, at plant@Aluminum, secondary ingot, at plant@Northern America",Northern America
"Aluminum, secondary, ingot, from automotive scrap, at plant","Aluminum, secondary, ingot, from automotive scrap, at plant@Northern America","Aluminum, secondary, ingot, from automotive scrap, at plant@Aluminum, secondary, ingot, from automotive scrap, at plant@Northern America",Northern America
"Aluminum, secondary, ingot, from beverage cans, at plant","Aluminum, secondary, ingot, from beverage cans, at plant@Northern America","Aluminum, secondary, ingot, from beverage cans, at plant@Aluminum, secondary, ingot, from beverage cans, at plant@Northern America",Northern America
"Aluminum, secondary, rolled","Aluminum, secondary, rolled@Northern America","Aluminum, secondary, rolled@Aluminum, secondary, rolled@Northern America",Northern America
"Aluminum, secondary, shape casted","Aluminum, secondary, shape casted@Northern America","Aluminum, secondary, shape casted@Aluminum, secondary, shape casted@Northern America",Northern America
"Aluminum, sheet, coated, at plant","Aluminum, sheet, coated, at plant@Northern America","Aluminum, sheet, coated, at plant@Aluminum, sheet, coated, at plant@Northern America",Northern America
"Ammonia, steam reforming, liquid, at plant","Ammonia, steam reforming, liquid, at plant@Northern America","Ammonia, steam reforming, liquid, at plant@Ammonia, steam reforming, liquid, at plant@Northern America",Northern America
"Aniline, at plant","Aniline, at plant@Aniline, at plant","Aniline, at plant@Aniline, at plant@Northern America",Northern America
"Anode, at plant","Anode, at plant@Northern America","Anode, at plant@Anode, at plant@Northern America",Northern America
"Anthracite coal, at mine","Anthracite coal, at mine@Northern America","Anthracite coal, at mine@Anthracite coal, at mine@Northern America",Northern America
"Anthracite coal, combusted in industrial boiler","Anthracite coal, combusted in industrial boiler@Northern America","Anthracite coal, combusted in industrial boiler@Anthracite coal, combusted in industrial boiler@Northern America",Northern America
"Asphalt binder, no additives","Asphalt binder, no additives@Asphalt binder, no additives, consumption mix, at terminal, from crude oil","Asphalt binder, no additives@Asphalt binder, no additives, consumption mix, at terminal, from crude oil@Northern America",Northern America
Asphalt binder,"Asphalt binder@Asphalt binder, 0.5% polyphosphoric acid (PPA), consumption mix, at terminal, from crude oil, 0.5% polyphosphoric acid","Asphalt binder@Asphalt binder, 0.5% polyphosphoric acid (PPA), consumption mix, at terminal, from crude oil, 0.5% polyphosphoric acid@Northern America",Northern America
"Automotive painting, electrocoating, per m2","Automotive painting, electrocoating, per m2@Northern America","Automotive painting, electrocoating, per m2@Automotive painting, electrocoating, per m2@Northern America",Northern America
"Automotive painting, electrocoating, per vehicle","Automotive painting, electrocoating, per vehicle@Northern America","Automotive painting, electrocoating, per vehicle@Automotive painting, electrocoating, per vehicle@Northern America",Northern America
"Automotive painting, pretreatment","Automotive painting, pretreatment@Northern America","Automotive painting, pretreatment@Automotive painting, pretreatment@Northern America",Northern America
"Automotive painting, top coat, per m2","Automotive painting, top coat, per m2@Northern America","Automotive painting, top coat, per m2@Automotive painting, top coat, per m2@Northern America",Northern America
"Automotive painting, top coat, per vehicle","Automotive painting, top coat, per vehicle@Northern America","Automotive painting, top coat, per vehicle@Automotive painting, top coat, per vehicle@Northern America",Northern America
"Bag house dust, re-pulped, at hardboard plant","Bag house dust, re-pulped, at hardboard plant@Hardboard, at hardboard plant","Bag house dust, re-pulped, at hardboard plant@Hardboard, at hardboard plant@Northern America",Northern America
"Bag house dust, wood fuel, at hardboard plant","Bag house dust, wood fuel, at hardboard plant@Hardboard, at hardboard plant","Bag house dust, wood fuel, at hardboard plant@Hardboard, at hardboard plant@Northern America",Northern America
Baghouse lime,"Baghouse lime@Aluminum, cold rolling, at plant","Baghouse lime@Aluminum, cold rolling, at plant@Northern America",Northern America
"Bark, at MDF mill","Bark, at MDF mill@Medium density fiberboard (MDF), at MDF mill","Bark, at MDF mill@Medium density fiberboard (MDF), at MDF mill@Northern America",Northern America
"Bark, hardwood, average, at forest road,  NE-NC","Bark, hardwood, average, at forest road,  NE-NC@United States","Bark; hardwood; average; at forest road@Bark, hardwood, average, at forest road,  NE-NC@United States",United States
"Bark, softwood, average, at forest road, INW","Bark, softwood, average, at forest road, INW@United States","Bark; softwood; average; at forest road@Bark, softwood, average, at forest road, INW@United States",United States
"Bark, softwood, average, at forest road, NE-NC","Bark, softwood, average, at forest road, NE-NC@United States","Bark; softwood; average; at forest road@Bark, softwood, average, at forest road, NE-NC@United States",United States
"Bark, softwood, average, state or private dry forest, at forest road, INW","Bark, softwood, average, state or private dry forest, at forest road, INW@United States","Bark; softwood; average; state or private dry forest; at forest road@Bark, softwood, average, state or private dry forest, at forest road, INW@United States",United States
"Bark, softwood, average, state or private moist cold forest, at forest road, INW","Bark, softwood, average, state or private moist cold forest, at forest road, INW@United States","Bark; softwood; average; state or private moist cold forest; at forest road@Bark, softwood, average, state or private moist cold forest, at forest road, INW@United States",United States
"Bark, softwood, national forest, average, at forest road, INW","Bark, softwood, national forest, average, at forest road, INW@United States","Bark; softwood; national forest; average; at forest road@Bark, softwood, national forest, average, at forest road, INW@United States",United States
Bark; hardwood; green; at logyard,"Bark; hardwood; green; at logyard@Roundwood, hardwood, green, at logyard, NE-NC","Bark; hardwood; green; at logyard@Roundwood, hardwood, green, at logyard, NE-NC@United States",United States
Bark; hardwood; green; at mill,"Bark; hardwood; green; at mill@Roundwood, hardwood, green, at mill, E","Bark; hardwood; green; at mill@Roundwood, hardwood, green, at mill, E@United States",United States
Bark; hardwood; green; at sawmill,"Bark; hardwood; green; at sawmill@Sawn lumber, hardwood, rough, green, at sawmill, NE-NC","Bark; hardwood; green; at sawmill@Sawn lumber, hardwood, rough, green, at sawmill, NE-NC@United States",United States
Bark; hardwood; green; at veneer mill,"Bark; hardwood; green; at veneer mill@Bucked and debarked log, hardwood, green, at veneer mill, E","Bark; hardwood; green; at veneer mill@Bucked and debarked log, hardwood, green, at veneer mill, E@United States",United States
"Bauxite, at mine","Bauxite, at mine@Global","Bauxite, at mine@Bauxite, at mine@Global",Global
"Benzene, at plant","Benzene, at plant@Northern America","Benzene, at plant@Benzene, at plant@Northern America",Northern America
Biodegradable loose fill,Biodegradable loose fill@Northern America,Biodegradable loose fill@Biodegradable loose fill@Northern America,Northern America
"Bitumen, at refinery","Bitumen, at refinery@Petroleum refining, at refinery","Bitumen, at refinery@Petroleum refining, at refinery@Northern America",Northern America
"Bituminous coal, at mine","Bituminous coal, at mine@Northern America","Bituminous coal, at mine@Bituminous coal, at mine@Northern America",Northern America
"Bituminous coal, combusted in industrial boiler, at pulp and paper mill (EXCL.)","Bituminous coal, combusted in industrial boiler, at pulp and paper mill (EXCL.)@Northern America","Bituminous coal, combusted in industrial boiler, at pulp and paper mill (EXCL.)@Bituminous coal, combusted in industrial boiler, at pulp and paper mill (EXCL.)@Northern America",Northern America
"Bituminous coal, combusted in industrial boiler","Bituminous coal, combusted in industrial boiler@Northern America","Bituminous coal, combusted in industrial boiler@Bituminous coal, combusted in industrial boiler@Northern America",Northern America
Bucked and debarked log; hardwood; green; at veneer mill,"Bucked and debarked log; hardwood; green; at veneer mill@Bucked and debarked log, hardwood, green, at veneer mill, E","Bucked and debarked log; hardwood; green; at veneer mill@Bucked and debarked log, hardwood, green, at veneer mill, E@United States",United States
"Butadiene, at plant","Butadiene, at plant@Northern America","Butadiene, at plant@Butadiene, at plant@Northern America",Northern America
"Byproduct of aluminum casting, SPM, liquid residuals","Byproduct of aluminum casting, SPM, liquid residuals@Semi-permanent mold (SPM) casting, aluminum","Byproduct of aluminum casting, SPM, liquid residuals@Semi-permanent mold (SPM) casting, aluminum@Northern America",Northern America
"Byproduct of aluminum casting, precision sand, liquid residuals","Byproduct of aluminum casting, precision sand, liquid residuals@Precision sand casting, aluminum","Byproduct of aluminum casting, precision sand, liquid residuals@Precision sand casting, aluminum@Northern America",Northern America
"Calcium carbonate, ground, 20 micron, at plant","Calcium carbonate, ground, 20 micron, at plant@United States","Calcium carbonate, ground, 20 micron, at plant@Calcium carbonate, ground, 20 micron, at plant@United States",United States
"Calcium carbonate, ground, 30 micron, at plant","Calcium carbonate, ground, 30 micron, at plant@United States","Calcium carbonate, ground, 30 micron, at plant@Calcium carbonate, ground, 30 micron, at plant@United States",United States
"Calcium carbonate, ground, fine slurry, 3 micron, at plant","Calcium carbonate, ground, fine slurry, 3 micron, at plant@United States","Calcium carbonate, ground, fine slurry, 3 micron, at plant@Calcium carbonate, ground, fine slurry, 3 micron, at plant@United States",United States
"Calcium carbonate, ground, fine treated, 3 micron, at plant","Calcium carbonate, ground, fine treated, 3 micron, at plant@United States","Calcium carbonate, ground, fine treated, 3 micron, at plant@Calcium carbonate, ground, fine treated, 3 micron, at plant@United States",United States
"Calcium carbonate, ground, screened grade, at plant","Calcium carbonate, ground, screened grade, at plant@United States","Calcium carbonate, ground, screened grade, at plant@Calcium carbonate, ground, screened grade, at plant@United States",United States
"Carbon monoxide, at plant","Carbon monoxide, at plant@Northern America","Carbon monoxide, at plant@Carbon monoxide, at plant@Northern America",Northern America
"Cellulosic fiberboard, uncoated, at plant","Cellulosic fiberboard, uncoated, at plant@Cellulosic fiberboard, uncoated, at plant","Cellulosic fiberboard, uncoated, at plant@Cellulosic fiberboard, uncoated, at plant@Northern America",Northern America
"Chainsawing, hand felling and delimbing, INW","Chainsawing, hand felling and delimbing, INW@United States","Chainsawing; hand felling and delimbing@Chainsawing, hand felling and delimbing, INW@United States",United States
"Chlor-alkali electrolysis, chlorine for PVC, at plant","Chlor-alkali electrolysis, chlorine for PVC, at plant@United States","Chlor-alkali electrolysis, chlorine for PVC, at plant@Chlor-alkali electrolysis, chlorine for PVC, at plant@United States",United States
"Chlorine, production mix, at plant","Chlorine, production mix, at plant@Chlorine, production mix, at plant","Chlorine, production mix, at plant@Chlorine, production mix, at plant@United States",United States
"Cladding, roll formed, at plant","Cladding, roll formed, at plant@Northern America","Cladding, roll formed, at plant@Cladding, roll formed, at plant@Northern America",Northern America
Clippings; hardwood; dry; at veneer mill,"Clippings; hardwood; dry; at veneer mill@Veneer, hardwood, dry, at veneer mill, E","Clippings; hardwood; dry; at veneer mill@Veneer, hardwood, dry, at veneer mill, E@United States",United States
"Coil, coating, m2, at plant","Coil, coating, m2, at plant@Northern America","Coil, coating, m2, at plant@Coil, coating, m2, at plant@Northern America",Northern America
"Cold rolled sheet, steel, at plant","Cold rolled sheet, steel, at plant@Northern America","Cold rolled sheet, steel, at plant@Cold rolled sheet, steel, at plant@Northern America",Northern America
"Combustion, dry wood residue, AP-42","Combustion, dry wood residue, AP-42@Northern America","Combustion, dry wood residue, AP-42@Combustion, dry wood residue, AP-42@Northern America",Northern America
"Combustion, wet wood residue, AP-42","Combustion, wet wood residue, AP-42@Northern America","Combustion, wet wood residue, AP-42@Combustion, wet wood residue, AP-42@Northern America",Northern America
"Composite scrap, from composites compression molding, at plant","Composite scrap, from composites compression molding, at plant@Compression molding, rigid composites part, at plant","Composite scrap, from composites compression molding, at plant@Compression molding, rigid composites part, at plant@United States",United States
"Composite scrap, from composites open mold casting, at plant","Composite scrap, from composites open mold casting, at plant@Open mold casting, rigid composites part, at plant","Composite scrap, from composites open mold casting, at plant@Open mold casting, rigid composites part, at plant@Northern America",Northern America
"Composite scrap, from composites open molding, at plant","Composite scrap, from composites open molding, at plant@Open molding, rigid composites part, at plant","Composite scrap, from composites open molding, at plant@Open molding, rigid composites part, at plant@Northern America",Northern America
"Composite scrap, from composites vacuum infusion, at plant","Composite scrap, from composites vacuum infusion, at plant@Vacuum infusion, rigid composites part, at plant","Composite scrap, from composites vacuum infusion, at plant@Vacuum infusion, rigid composites part, at plant@United States",United States
"Compression molding, rigid composites part, at plant","Compression molding, rigid composites part, at plant@Compression molding, rigid composites part, at plant","Compression molding, rigid composites part, at plant@Compression molding, rigid composites part, at plant@United States",United States
"Conditioned log, hardwood, green, at veneer mill, E","Conditioned log, hardwood, green, at veneer mill, E@United States","Conditioned log; hardwood; green; at veneer mill@Conditioned log, hardwood, green, at veneer mill, E@United States",United States
"Containerboard, 100% recycled, at mill","Containerboard, 100% recycled, at mill@United States","Containerboard, 100% recycled, at mill@Containerboard, 100% recycled, at mill@United States",United States
"Containerboard, average production, at mill","Containerboard, average production, at mill@United States","Containerboard, average production, at mill@Containerboard, average production, at mill@United States",United States
"Corn grain, at conversion plant, 2022","Corn grain, at conversion plant, 2022@Northern America","Corn grain, at conversion plant@Corn grain, at conversion plant, 2022@Northern America",Northern America
"Corn grain, harvested and stored","Corn grain, harvested and stored@Northern America","Corn grain, harvested and stored@Corn grain, harvested and stored@Northern America",Northern America
Corn steep liquor,Corn steep liquor@Corn steep liquor,Corn steep liquor@Corn steep liquor@Northern America,Northern America
"Corn stover, at conversion plant, 2022","Corn stover, at conversion plant, 2022@Northern America","Corn stover, at conversion plant@Corn stover, at conversion plant, 2022@Northern America",Northern America
"Corn stover, at field","Corn stover, at field@Corn, whole plant, at field","Corn stover, at field@Corn, whole plant, at field@Northern America",Northern America
"Corn stover, carted","Corn stover, carted@Northern America","Corn stover, carted@Corn stover, carted@Northern America",Northern America
"Corn stover, ground and stored","Corn stover, ground and stored@Northern America","Corn stover, ground and stored@Corn stover, ground and stored@Northern America",Northern America
"Corn stover, production, average, US, 2022","Corn stover, production, average, US, 2022@Northern America","Corn stover, production@Corn stover, production, average, US, 2022@Northern America",Northern America
"Corn wet mill, gluten drying, AP-42","Corn wet mill, gluten drying, AP-42@Northern America","Corn wet mill, gluten drying, AP-42@Corn wet mill, gluten drying, AP-42@Northern America",Northern America
"Corn wet milling, operations, AP-42","Corn wet milling, operations, AP-42@Northern America","Corn wet milling, operations, AP-42@Corn wet milling, operations, AP-42@Northern America",Northern America
"Corn, at field","Corn, at field@Corn, whole plant, at field","Corn, at field@Corn, whole plant, at field@Northern America",Northern America
"Corn, decomposition, 15.5% moisture","Corn, decomposition, 15.5% moisture@Northern America","Corn, decomposition@Corn, decomposition, 15.5% moisture@Northern America",Northern America
"Corn, production, average, US, 2022","Corn, production, average, US, 2022@Northern America","Corn, production@Corn, production, average, US, 2022@Northern America",Northern America
"Corrugate packaging, from LDPE injection molding, for shipping","Corrugate packaging, from LDPE injection molding, for shipping@Injection molding, rigid LLDPE part, at plant","Corrugate packaging, from LDPE injection molding, for shipping@Injection molding, rigid LLDPE part, at plant@Northern America",Northern America
"Corrugate packaging, from PP injection molding, for shipping","Corrugate packaging, from PP injection molding, for shipping@Injection molding, rigid polypropylene part, at plant","Corrugate packaging, from PP injection molding, for shipping@Injection molding, rigid polypropylene part, at plant@Northern America",Northern America
"Corrugate packaging, from PP thermoforming, for shipping","Corrugate packaging, from PP thermoforming, for shipping@Thermoforming, rigid polypropylene part, at plant","Corrugate packaging, from PP thermoforming, for shipping@Thermoforming, rigid polypropylene part, at plant@Northern America",Northern America
"Corrugate packaging, from compression molding, for shipping","Corrugate packaging, from compression molding, for shipping@Compression molding, rigid composites part, at plant","Corrugate packaging, from compression molding, for shipping@Compression molding, rigid composites part, at plant@United States",United States
"Corrugate packaging, from open molding, for shipping","Corrugate packaging, from open molding, for shipping@Open molding, rigid composites part, at plant","Corrugate packaging, from open molding, for shipping@Open molding, rigid composites part, at plant@Northern America",Northern America
"Corrugated product, 100% recycled, at mill","Corrugated product, 100% recycled, at mill@United States","Corrugated product, 100% recycled, at mill@Corrugated product, 100% recycled, at mill@United States",United States
"Corrugated product, average production, at mill","Corrugated product, average production, at mill@United States","Corrugated product, average production, at mill@Corrugated product, average production, at mill@United States",United States
"Cotton straw, at field","Cotton straw, at field@Cotton, whole plant, at field","Cotton straw, at field@Cotton, whole plant, at field@Northern America",Northern America
"Cotton, at field","Cotton, at field@Cotton, whole plant, at field","Cotton, at field@Cotton, whole plant, at field@Northern America",Northern America
"Crude oil, at production","Crude oil, at production@Northern America","Crude oil, at production@Crude oil, at production@Northern America",Northern America
"Crude oil, extracted","Crude oil, extracted@Northern America","Crude oil, extracted@Crude oil, extracted@Northern America",Northern America
"Crude palm kernel oil, at plant","Crude palm kernel oil, at plant@Northern America","Crude palm kernel oil, at plant@Crude palm kernel oil, at plant@Northern America",Northern America
"Culled boards, wood fuel, at cellulosic fiberboard plant","Culled boards, wood fuel, at cellulosic fiberboard plant@Cellulosic fiberboard, uncoated, at plant","Culled boards, wood fuel, at cellulosic fiberboard plant@Cellulosic fiberboard, uncoated, at plant@Northern America",Northern America
"Culled boards, wood fuel, at hardboard plant","Culled boards, wood fuel, at hardboard plant@Hardboard, at hardboard plant","Culled boards, wood fuel, at hardboard plant@Hardboard, at hardboard plant@Northern America",Northern America
"Deposit containers, at collection, CRV","Deposit containers, at collection, CRV@Northern America","Deposit containers, at collection, CRV@Deposit containers, at collection, CRV@Northern America",Northern America
"Deposit containers, at collection","Deposit containers, at collection@Northern America","Deposit containers, at collection@Deposit containers, at collection@Northern America",Northern America
"Diesel, at refinery","Diesel, at refinery@Petroleum refining, at refinery","Diesel, at refinery@Petroleum refining, at refinery@Northern America",Northern America
"Diesel, combusted in industrial boiler, at pulp and paper mill (EXCL.)","Diesel, combusted in industrial boiler, at pulp and paper mill (EXCL.)@Northern America","Diesel, combusted in industrial boiler, at pulp and paper mill (EXCL.)@Diesel, combusted in industrial boiler, at pulp and paper mill (EXCL.)@Northern America",Northern America
"Diesel, combusted in industrial boiler","Diesel, combusted in industrial boiler@Northern America","Diesel, combusted in industrial boiler@Diesel, combusted in industrial boiler@Northern America",Northern America
"Diesel, combusted in industrial equipment","Diesel, combusted in industrial equipment@Northern America","Diesel, combusted in industrial equipment@Diesel, combusted in industrial equipment@Northern America",Northern America
"Disposal, hazardous waste, to incineration with energy recovery","Disposal, hazardous waste, to incineration with energy recovery@Ethylene glycol, materials production, organic compound, at plant, kg","Disposal, hazardous waste, to incineration with energy recovery@Ethylene glycol, materials production, organic compound, at plant, kg@Northern America",Northern America
"Disposal, hazardous waste, to incineration without energy recovery","Disposal, hazardous waste, to incineration without energy recovery@Ethylene glycol, materials production, organic compound, at plant, kg","Disposal, hazardous waste, to incineration without energy recovery@Ethylene glycol, materials production, organic compound, at plant, kg@Northern America",Northern America
"Disposal, hazardous waste, to unspecified hazardous waste landfill","Disposal, hazardous waste, to unspecified hazardous waste landfill@Ethylene, materials production, organic compound, at plant, kg","Disposal, hazardous waste, to unspecified hazardous waste landfill@Ethylene, materials production, organic compound, at plant, kg@United States",United States
"Disposal, solid waste to incineration with energy recovery","Disposal, solid waste to incineration with energy recovery@Polyethylene, high density, HDPE, virgin resin, at plant","Disposal, solid waste to incineration with energy recovery@Polyethylene, high density, HDPE, virgin resin, at plant@Northern America",Northern America
"Disposal, solid waste, process, to sanitary landfill","Disposal, solid waste, process, to sanitary landfill@Ethylene glycol, materials production, organic compound, at plant, kg","Disposal, solid waste, process, to sanitary landfill@Ethylene glycol, materials production, organic compound, at plant, kg@Northern America",Northern America
"Disposal, solid waste, to incineration with energy recovery","Disposal, solid waste, to incineration with energy recovery@Ethylene, materials production, organic compound, at plant, kg","Disposal, solid waste, to incineration with energy recovery@Ethylene, materials production, organic compound, at plant, kg@United States",United States
"Disposal, solid waste, to incineration without energy recovery","Disposal, solid waste, to incineration without energy recovery@Ethylene glycol, materials production, organic compound, at plant, kg","Disposal, solid waste, to incineration without energy recovery@Ethylene glycol, materials production, organic compound, at plant, kg@Northern America",Northern America
"Disposal, solid waste, unspecified","Disposal, solid waste, unspecified@Natural gas, at extraction, Barnett Shale, kg","Disposal, solid waste, unspecified@Natural gas, at extraction, Barnett Shale, kg@United States",United States
Distillers dried grains with solubles,"Distillers dried grains with solubles@Ethanol, denatured, corn dry mill","Distillers dried grains with solubles@Ethanol, denatured, corn dry mill@Northern America",Northern America
"Dry sawdust, wood fuel, at hardboard plant","Dry sawdust, wood fuel, at hardboard plant@Hardboard, at hardboard plant","Dry sawdust, wood fuel, at hardboard plant@Hardboard, at hardboard plant@Northern America",Northern America
"E-glass, at plant","E-glass, at plant@United States","E-glass, at plant@E-glass, at plant@United States",United States
"EPS insulation board, at plant","EPS insulation board, at plant@Northern America","EPS insulation board, at plant@EPS insulation board, at plant@Northern America",Northern America
"Electricity, Eastern US, 2014","Electricity, Eastern US, 2014@United States","Electricity, at grid@Electricity, Eastern US, 2014@United States",United States
"Electricity, Texas US, 2014","Electricity, Texas US, 2014@United States","Electricity, at grid@Electricity, Texas US, 2014@United States",United States
"Electricity, Western US, 2014","Electricity, Western US, 2014@United States","Electricity, at grid@Electricity, Western US, 2014@United States",United States
"Electricity, alumina refining regions","Electricity, alumina refining regions@Northern America","Electricity, alumina refining regions@Electricity, alumina refining regions@Northern America",Northern America
"Electricity, aluminum smelting and ingot casting regions","Electricity, aluminum smelting and ingot casting regions@Northern America","Electricity, aluminum smelting and ingot casting regions@Electricity, aluminum smelting and ingot casting regions@Northern America",Northern America
"Electricity, anthracite coal, at power plant","Electricity, anthracite coal, at power plant@Northern America","Electricity, anthracite coal, at power plant@Electricity, anthracite coal, at power plant@Northern America",Northern America
"Electricity, at Grid, ASCC, 2008","Electricity, at Grid, ASCC, 2008@Northern America","Electricity, at grid@Electricity, at Grid, ASCC, 2008@Northern America",Northern America
"Electricity, at Grid, ASCC, 2010","Electricity, at Grid, ASCC, 2010@Northern America","Electricity, at grid@Electricity, at Grid, ASCC, 2010@Northern America",Northern America
"Electricity, at Grid, FRCC, 2008","Electricity, at Grid, FRCC, 2008@Northern America","Electricity, at grid@Electricity, at Grid, FRCC, 2008@Northern America",Northern America
"Electricity, at Grid, FRCC, 2010","Electricity, at Grid, FRCC, 2010@Northern America","Electricity, at grid@Electricity, at Grid, FRCC, 2010@Northern America",Northern America
"Electricity, at Grid, HICC, 2008","Electricity, at Grid, HICC, 2008@Northern America","Electricity, at grid@Electricity, at Grid, HICC, 2008@Northern America",Northern America
"Electricity, at Grid, HICC, 2010","Electricity, at Grid, HICC, 2010@Northern America","Electricity, at grid@Electricity, at Grid, HICC, 2010@Northern America",Northern America
"Electricity, at Grid, MRO, 2008","Electricity, at Grid, MRO, 2008@Northern America","Electricity, at grid@Electricity, at Grid, MRO, 2008@Northern America",Northern America
"Electricity, at Grid, MRO, 2010","Electricity, at Grid, MRO, 2010@Northern America","Electricity, at grid@Electricity, at Grid, MRO, 2010@Northern America",Northern America
"Electricity, at Grid, NPCC, 2008","Electricity, at Grid, NPCC, 2008@Northern America","Electricity, at grid@Electricity, at Grid, NPCC, 2008@Northern America",Northern America
"Electricity, at Grid, NPCC, 2010","Electricity, at Grid, NPCC, 2010@Northern America","Electricity, at grid@Electricity, at Grid, NPCC, 2010@Northern America",Northern America
"Electricity, at Grid, RFC, 2008","Electricity, at Grid, RFC, 2008@Northern America","Electricity, at grid@Electricity, at Grid, RFC, 2008@Northern America",Northern America
"Electricity, at Grid, RFC, 2010","Electricity, at Grid, RFC, 2010@Northern America","Electricity, at grid@Electricity, at Grid, RFC, 2010@Northern America",Northern America
"Electricity, at Grid, SERC, 2008","Electricity, at Grid, SERC, 2008@Northern America","Electricity, at grid@Electricity, at Grid, SERC, 2008@Northern America",Northern America
"Electricity, at Grid, SERC, 2010","Electricity, at Grid, SERC, 2010@Northern America","Electricity, at grid@Electricity, at Grid, SERC, 2010@Northern America",Northern America
"Electricity, at Grid, SPP, 2008","Electricity, at Grid, SPP, 2008@Northern America","Electricity, at grid@Electricity, at Grid, SPP, 2008@Northern America",Northern America
"Electricity, at Grid, SPP, 2010","Electricity, at Grid, SPP, 2010@Northern America","Electricity, at grid@Electricity, at Grid, SPP, 2010@Northern America",Northern America
"Electricity, at Grid, TRE, 2008","Electricity, at Grid, TRE, 2008@Northern America","Electricity, at grid@Electricity, at Grid, TRE, 2008@Northern America",Northern America
"Electricity, at Grid, TRE, 2010","Electricity, at Grid, TRE, 2010@Northern America","Electricity, at grid@Electricity, at Grid, TRE, 2010@Northern America",Northern America
"Electricity, at Grid, US, 2008","Electricity, at Grid, US, 2008@Northern America","Electricity, at grid@Electricity, at Grid, US, 2008@Northern America",Northern America
"Electricity, at Grid, US, 2010","Electricity, at Grid, US, 2010@Northern America","Electricity, at grid@Electricity, at Grid, US, 2010@Northern America",Northern America
