product,process,conjoined_flownames,location
"Fuels, burned at coated mechanical paper, average production, at mill","Fuels, burned at coated mechanical paper, average production, at mill@Northern America","Fuels, burned at coated mechanical paper, average production, at mill@Fuels, burned at coated mechanical paper, average production, at mill@Northern America",Northern America
"Fuels, burned at unbleached kraft bag sack paper, average production, at mill","Fuels, burned at unbleached kraft bag sack paper, average production, at mill@Northern America","Fuels, burned at unbleached kraft bag sack paper, average production, at mill@Fuels, burned at unbleached kraft bag sack paper, average production, at mill@Northern America",Northern America
"Fuels, burned at uncoated freesheet, average production, at mill","Fuels, burned at uncoated freesheet, average production, at mill@Northern America","Fuels, burned at uncoated freesheet, average production, at mill@Fuels, burned at uncoated freesheet, average production, at mill@Northern America",Northern America
"Fuels, burned at uncoated mechanical paper, average production, at mill","Fuels, burned at uncoated mechanical paper, average production, at mill@Northern America","Fuels, burned at uncoated mechanical paper, average production, at mill@Fuels, burned at uncoated mechanical paper, average production, at mill@Northern America",Northern America
"Galvanized steel coil, coated, at plant","Galvanized steel coil, coated, at plant@Northern America","Galvanized steel coil, coated, at plant@Galvanized steel coil, coated, at plant@Northern America",Northern America
"Galvanized steel sheet, at plant","Galvanized steel sheet, at plant@Northern America","Galvanized steel sheet, at plant@Galvanized steel sheet, at plant@Northern America",Northern America
"Gasoline, at refinery","Gasoline, at refinery@Petroleum refining, at refinery","Gasoline, at refinery@Petroleum refining, at refinery@Northern America",Northern America
"Gasoline, combusted in equipment, at pulp and paper mill (EXCL.)","Gasoline, combusted in equipment, at pulp and paper mill (EXCL.)@Northern America","Gasoline, combusted in equipment, at pulp and paper mill (EXCL.)@Gasoline, combusted in equipment, at pulp and paper mill (EXCL.)@Northern America",Northern America
"Gasoline, combusted in equipment","Gasoline, combusted in equipment@Northern America","Gasoline, combusted in equipment@Gasoline, combusted in equipment@Northern America",Northern America
"Glycerin, at plant","Glycerin, at plant@Soy biodiesel, production, at plant","Glycerin, at plant@Soy biodiesel, production, at plant@Northern America",Northern America
"Glycerine, at plant","Glycerine, at plant@Northern America","Glycerine, at plant@Glycerine, at plant@Northern America",Northern America
Grinding,Grinding@Northern America,Grinding@Grinding@Northern America,Northern America
"Gypsum wallboard product, regular, 0.5 inch (12.7 mm)","Gypsum wallboard product, regular, 0.5 inch (12.7 mm)@Gypsum wallboard product, regular, 0.5 inch (12.7 mm)","Gypsum wallboard product, regular, 0.5 inch (12.7 mm)@Gypsum wallboard product, regular, 0.5 inch (12.7 mm)@Northern America",Northern America
