scenario,behavior,characteristics,mean,standard_deviation,min,max,value_absence,value_presence,independent_charac,booleans,strings
Alaska,wishcycling,kn,0.372971649,0.069687226,0.0,1.0,0,1,True,,
Alaska,wishcycling,name,,,,,,,,,wishcycling
Alaska,wishcycling,ns,0.64278216,1e-06,0.0,1.0,0,1,True,,
Alaska,wishcycling,pbc,0.0,1e-06,0.0,1.0,0,1,True,,
Alaska,wishcycling,pr,0.002283105,1e-06,0.0,1.0,0,1,True,,
Alaska,wishcycling,sn,0.002283105,1e-06,0.0,1.0,trash,wishcycling,False,,
Arizona,recycling,att,0.84,0.1,0.0,1.0,0,1,True,,
Arizona,recycling,availability,,,,,,,,True,
Arizona,recycling,bin,0.72,0.1,0.0,1.0,0,1,True,,
Arizona,recycling,ds,0.109698245,1e-06,0.0,1.0,0,1,True,,
Arizona,recycling,err,-0.5,0.0719710250770111,-1.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
Arizona,recycling,households,615.4303494,67.25155577,504.0797032,726.8662039,,,True,,
Arizona,recycling,ht,0.699305361,0.123009593,0.0,1.0,0,1,True,,
Arizona,recycling,kn,0.357681957,0.072453729,0.0,1.0,0,1,True,,
Arizona,recycling,name,,,,,,,,,recycling
Arizona,recycling,ns,0.624482363,1e-06,0.0,1.0,0,1,True,,
Arizona,recycling,pbc,0.0,1e-06,0.0,1.0,0,1,True,,
Arizona,recycling,pr,0.1712328766666666,1e-06,0.0,1.0,0,1,True,,
Arizona,recycling,sn,0.1712328766666666,1e-06,0.0,1.0,trash,recycling,False,,
Arizona,trash,att,0.0,1e-06,0.0,1.0,0,1,True,,
Arizona,trash,availability,,,,,,,,True,
Arizona,trash,bin,1.0,1e-06,0.0,1.0,0,1,True,,
Arizona,trash,ds,0.0,1e-06,0.0,1.0,0,1,True,,
Arizona,trash,err,0.0,1e-06,-1.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
Arizona,trash,households,615.4303494,67.25155577,504.0797032,726.8662039,,,True,,
Arizona,trash,ht,1.0,1e-06,0.0,1.0,0,1,True,,
Arizona,trash,kn,1.0,1e-06,0.0,1.0,0,1,True,,
Arizona,trash,name,,,,,,,,,trash
Arizona,trash,ns,0.0,1e-06,0.0,1.0,0,1,True,,
Arizona,trash,pbc,1.0,1e-06,0.0,1.0,0,1,True,,
Arizona,trash,pr,0.794520548,1e-06,0.0,1.0,0,1,True,,
Arizona,trash,sn,0.794520548,1e-06,0.0,1.0,recycling,trash,False,,
Arizona,wishcycling,att,0.0,0.1,0.0,1.0,0,1,True,,
Arizona,wishcycling,availability,,,,,,,,True,
Arizona,wishcycling,bin,0.72,0.1,0.0,1.0,0,1,True,,
Arizona,wishcycling,ds,0.109698245,1e-06,0.0,1.0,0,1,True,,
Arizona,wishcycling,err,-1.5,0.0719710250770111,-2.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
Arizona,wishcycling,households,615.4303494,67.25155577,504.0797032,726.8662039,,,True,,
Arizona,wishcycling,ht,0.699305361,0.123009593,0.0,1.0,0,1,True,,
Arizona,wishcycling,kn,0.357681957,0.072453729,0.0,1.0,0,1,True,,
Arizona,wishcycling,name,,,,,,,,,wishcycling
Arizona,wishcycling,ns,0.624482363,1e-06,0.0,1.0,0,1,True,,
Arizona,wishcycling,pbc,0.0,1e-06,0.0,1.0,0,1,True,,
Arizona,wishcycling,pr,0.0342465753333333,1e-06,0.0,1.0,0,1,True,,
Arizona,wishcycling,sn,0.0342465753333333,1e-06,0.0,1.0,trash,wishcycling,False,,
