,sn,pbc,kn,ds,high_prob_habit,Y
4960,0.79248046875,0.51123046875,0.23486328125,-0.96533203125,0.58642578125,0.5103209560358328
4961,0.79248046875,0.51123046875,0.23486328125,-0.25732421875,0.29052734375,0.43452814916766724
4962,0.79248046875,0.64599609375,0.72998046875,-0.96533203125,0.29052734375,0.39934908088209636
4963,0.40087890625,0.51123046875,0.72998046875,-0.96533203125,0.29052734375,0.3898954886105935
4964,0.40087890625,0.64599609375,0.23486328125,-0.96533203125,0.29052734375,0.394180937283134
4965,0.40087890625,0.64599609375,0.72998046875,-0.25732421875,0.29052734375,0.40372670328126625
4966,0.40087890625,0.64599609375,0.72998046875,-0.96533203125,0.58642578125,0.4714293996015254
4967,0.40087890625,0.64599609375,0.72998046875,-0.96533203125,0.29052734375,0.38838971176413273
4968,0.54248046875,0.26123046875,0.98486328125,-0.50732421875,0.83642578125,0.6389475012419087
4969,0.15087890625,0.26123046875,0.98486328125,-0.50732421875,0.83642578125,0.6229450655771174
4970,0.54248046875,0.39599609375,0.98486328125,-0.50732421875,0.83642578125,0.6367470498881554
4971,0.54248046875,0.26123046875,0.97998046875,-0.50732421875,0.83642578125,0.639185782144862
4972,0.54248046875,0.26123046875,0.98486328125,-0.71533203125,0.83642578125,0.6331977236633791
4973,0.54248046875,0.26123046875,0.98486328125,-0.50732421875,0.04052734375,0.4147250197098171
4974,0.54248046875,0.39599609375,0.97998046875,-0.71533203125,0.04052734375,0.4035872805563994
4975,0.15087890625,0.26123046875,0.97998046875,-0.71533203125,0.04052734375,0.39145020293826627
4976,0.15087890625,0.39599609375,0.98486328125,-0.71533203125,0.04052734375,0.3878785523295685
4977,0.15087890625,0.39599609375,0.97998046875,-0.50732421875,0.04052734375,0.3942282231505307
4978,0.15087890625,0.39599609375,0.97998046875,-0.71533203125,0.83642578125,0.6181732372306684
4979,0.15087890625,0.39599609375,0.97998046875,-0.71533203125,0.04052734375,0.385510575350214
4980,0.04248046875,0.76123046875,0.48486328125,-0.00732421875,0.33642578125,0.40803291026984356
4981,0.65087890625,0.76123046875,0.48486328125,-0.00732421875,0.33642578125,0.4275880451609433
4982,0.04248046875,0.89599609375,0.48486328125,-0.00732421875,0.33642578125,0.40737185203963316
4983,0.04248046875,0.76123046875,0.47998046875,-0.00732421875,0.33642578125,0.4084013602556687
4984,0.04248046875,0.76123046875,0.48486328125,-0.21533203125,0.33642578125,0.4029456769618832
4985,0.04248046875,0.76123046875,0.48486328125,-0.00732421875,0.54052734375,0.45370766517937505
4986,0.04248046875,0.89599609375,0.47998046875,-0.21533203125,0.54052734375,0.45080216558394726
4987,0.65087890625,0.76123046875,0.47998046875,-0.21533203125,0.54052734375,0.49487491209136797
4988,0.65087890625,0.89599609375,0.48486328125,-0.21533203125,0.54052734375,0.49125156157473526
4989,0.65087890625,0.89599609375,0.47998046875,-0.00732421875,0.54052734375,0.4920583367292538
4990,0.65087890625,0.89599609375,0.47998046875,-0.21533203125,0.33642578125,0.42337177719207403
4991,0.65087890625,0.89599609375,0.47998046875,-0.21533203125,0.54052734375,0.49125156157473526
4992,0.05810546875,0.05810546875,0.12548828125,-0.46044921875,0.53955078125,0.45440868616427643
4993,0.51025390625,0.05810546875,0.12548828125,-0.46044921875,0.53955078125,0.47475274857541655
4994,0.05810546875,0.44287109375,0.12548828125,-0.46044921875,0.53955078125,0.45362106391621393
