,name,State,State_County,latitude (deg),longitude (deg),2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,index,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,Abbeville,South Carolina,South Carolina_Abbeville,34.213809,-82.46046,967.3075206532708,977.10249310146,986.8490634456394,996.5200343130788,1006.0849815241146,1015.5551989030166,1024.903950049474,1034.1432202463848,1043.2879910973709,1052.3080689089782,1061.1999963880637,1069.948561444795,1078.5466190066757,1087.0195225567588,1095.3449149327157,1103.5158815482591,1111.5374931,1119.4321067502665,1127.228533275255,1134.9251592714988,1142.5219847389983,1150.0224669708966,1157.469245915964,1164.8510277499329,1172.1786453246514,1179.4539425297976,1186.6741535308558,0,1201.0568633620678,1209.4764467840214,1217.8960302059713,1226.315613627925,1234.7351970498748,1243.1547804718284,1251.5743638937784,1259.9939473157283,1268.4135307376819,1276.8331141596318,1285.2526975815854,1293.6722810035353,1302.091864425489,1310.5114478474388,1318.9310312693924,1327.3506146913423,1335.770198113296,1344.1897815352459,1352.6093649571958,1361.0289483791494
1,Acadia,Louisiana,Louisiana_Acadia,30.291497,-92.411037,2479.724377441616,2489.435476751717,2498.894025989303,2507.950691198452,2516.569785955874,2524.7518592834654,2532.461773779833,2539.8433731819314,2546.9103830371787,2553.655666060918,2560.006751362775,2565.9751684025823,2571.555426961372,2576.7865075938143,2581.709037920271,2586.4185477507804,2590.9221743699995,2595.4153695731816,2599.978839579149,2604.733369205193,2609.607585604734,2614.6607831426227,2619.499862140769,2624.1154892269305,2628.510958532487,2632.728544743488,2636.75067915924,0,2651.176162237829,2656.9755904718804,2662.775018705932,2668.5744469399833,2674.3738751740366,2680.173303408088,2685.9727316421395,2691.7721598761927,2697.571588110244,2703.3710163442956,2709.170444578349,2714.9698728124004,2720.769301046452,2726.568729280505,2732.3681575145565,2738.167585748608,2743.9670139826612,2749.7664422167127,2755.565870450764,2761.3652986848174
2,Accomack,Virginia,Virginia_Accomack,37.765944,-75.757807,1190.3426403600292,1204.9901537123344,1219.657769961831,1234.2805535596556,1248.877650122181,1263.4544842407126,1278.00898180681,1292.5666703089696,1307.1436639743044,1321.735016851918,1336.307862300372,1350.861083492045,1365.3629306131193,1379.8138823040038,1394.1919211058714,1408.502312063224,1422.74186424,1436.968812219331,1451.2196922191267,1465.4826977759585,1479.7616580131005,1494.0447664671228,1508.45982012731,1522.998363013097,1537.6789025536443,1552.5236157545833,1567.5503718578598,0,1581.4437892907845,1595.897371750656,1610.3509542105312,1624.8045366704064,1639.2581191302816,1653.711701590153,1668.1652840500283,1682.6188665099035,1697.0724489697786,1711.5260314296538,1725.9796138895254,1740.4331963494005,1754.8867788092757,1769.340361269151,1783.793943729026,1798.2475261888976,1812.7011086487728,1827.154691108648,1841.6082735685231,1856.0618560283983
3,Ada,Idaho,Idaho_Ada,43.447861,-116.244456,15955.511362344214,16199.57688216932,16448.328220503256,16699.739077450322,16953.959122889162,17210.44724264309,17468.67383560301,17728.44317961988,17987.993775352563,18248.189102870245,18507.935420751943,18766.818258564446,19025.2175475382,19282.83394791588,19538.861544966243,19793.71480912249,20048.08452444,20302.81114485277,20557.35355618412,20813.30056176136,21070.01894286707,21329.419868721096,21591.44577398548,21856.44205068788,22125.629083992782,22398.730560278043,22676.414237463832,0,22891.555717029958,23149.455480850767,23407.35524467152,23665.255008492444,23923.154772313253,24181.054536134063,24438.954299954872,24696.85406377568,24954.75382759649,25212.6535914173,25470.55335523811,25728.45311905892,25986.352882879728,26244.252646700654,26502.152410521463,26760.052174342272,27017.95193816308,27275.85170198389,27533.7514658047,27791.65122962551
4,Adair,Iowa,Iowa_Adair,41.328528,-94.478164,454.6343417062629,456.0161763786738,457.3397381429151,458.5665362096432,459.6824624010908,460.68767006701614,461.568511078927,462.3228385402064,462.9610802344216,463.47234832873056,463.8477485371494,464.0946416480784,464.19861278423366,464.1638023890902,463.979782679081,463.6540677923647,463.1923316699999,462.5915073168198,461.8706101028587,461.0337804715918,460.0813251225357,459.00987036100713,457.9066721995018,456.7695837414032,455.59584469106113,454.40477711802646,453.17491205613146,0,459.09835317156995,459.0159033352302,458.9334534988904,458.8510036625506,458.7685538262108,458.68610398987107,458.60365415353124,458.5212043171915,458.4387544808517,458.35630464451197,458.27385480817213,458.1914049718324,458.1089551354926,458.02650529915286,457.944055462813,457.8616056264733,457.7791557901335,457.69670595379375,457.6142561174539,457.5318062811142
5,Adair,Kentucky,Kentucky_Adair,37.105541,-85.281401,575.2787560849952,578.3888380663254,581.4289025679311,584.3572725185479,587.1825611795705,589.9060188631369,592.5252838685417,595.0605001135632,597.5284773502777,599.9207412408618,602.2379864031697,604.4825745379064,606.6529774857921,608.7501677118236,610.7830363245365,612.7504719353641,614.6577536399999,616.5208576490953,618.3597889568573,620.1682960025964,621.9506854170093,623.7198770921887,625.5010161944638,627.2941027238348,629.1046936231369,630.9370955230676,632.7965875193199,0,637.1651824829987,639.3218348810069,641.4784872790142,643.6351396770224,645.7917920750306,647.9484444730388,650.105096871047,652.2617492690551,654.4184016670624,656.5750540650706,658.7317064630788,660.888358861087,663.0450112590952,665.2016636571034,667.3583160551107,669.5149684531189,671.671620851127,673.8282732491352,675.9849256471434,678.1415780451516
6,Adair,Missouri,Missouri_Adair,40.190666,-92.603592,1416.7437118495768,1424.632961164887,1432.5429677608615,1440.3808180954798,1448.1479948316453,1455.8318953346702,1463.4075614456603,1470.9024224283503,1478.334023127111,1485.6519530031874,1492.8233463621932,1499.8509214194544,1506.6916809507366,1513.344389403621,1519.7887837184107,1526.0218985692968,1532.05584237,1537.927928803619,1543.7281060863652,1549.4200489770767,1555.0390942749796,1560.5931495155646,1566.1783406771458,1571.7810766830978,1577.4416365423292,1583.1642211330686,1588.9631628633942,0,1601.087516970465,1607.669456178959,1614.2513953874532,1620.8333345959472,1627.4152738044413,1633.9972130129354,1640.5791522214295,1647.1610914299217,1653.7430306384158,1660.3249698469099,1666.906909055404,1673.488848263898,1680.070787472392,1686.6527266808862,1693.2346658893803,1699.8166050978743,1706.3985443063684,1712.9804835148625,1719.5624227233566,1726.1443619318507
7,Adair,Oklahoma,Oklahoma_Adair,35.8975,-94.651671,925.2564499248708,928.9894193906332,932.7500893365308,936.4859607573546,940.1978250953958,943.8651048511248,947.4925486782791,951.13239176797,954.8152365553937,958.5123273040294,962.2276212253252,966.0064943438824,969.8112212438982,973.6584222134544,977.5465143679706,981.4929094378182,985.52768223,989.6835456924846,994.0064034780664,998.5012680545798,1003.1773729154024,1008.0320799195696,1012.9057815386858,1017.779483157802,1022.6484361231812,1027.5321626779655,1032.3707770222447,0,1032.4632788128047,1036.521752354186,1040.5802258955655,1044.6386994369468,1048.6971729783281,1052.7556465197076,1056.814120061089,1060.8725936024684,1064.9310671438498,1068.9895406852293,1073.0480142266106,1077.106487767992,1081.1649613093714,1085.2234348507527,1089.2819083921322,1093.3403819335135,1097.398855474893,1101.4573290162743,1105.5158025576557,1109.5742760990352
8,Adams,Colorado,Colorado_Adams,39.874325,-104.331872,17192.97450900115,17354.775866429656,17516.644869708347,17677.487910925945,17837.94010945361,17997.779737226858,18157.47655709416,18317.86110977165,18479.925534395305,18643.62473373168,18809.172919639685,18976.51372057749,19145.67344326463,19316.287551730667,19488.75064676833,19662.79966118247,19838.52478944,20016.32063233363,20197.03276299065,20380.48830868281,20566.521912887427,20755.26135109932,20948.63453004863,21146.280671867746,21348.57934493822,21556.098022781043,21768.27298997802,0,21809.11007665668,21983.047293248645,22156.984509840666,22330.921726432687,22504.85894302471,22678.79615961673,22852.73337620875,23026.670592800772,23200.607809392735,23374.545025984757,23548.482242576778,23722.4194591688,23896.35667576082,24070.29389235284,24244.231108944805,24418.168325536826,24592.105542128847,24766.04275872087,24939.97997531289,25113.91719190491
