,location,year,bale,material,value
41,Indiana_Orange,2020,pet_bale,paper,1.2048068227261375
42,Indiana_Orange,2020,pet_bale,pet,153.71524077
43,Indiana_Orange,2020,pet_bale,film,0.052313543061136836
44,Indiana_Orange,2020,pet_bale,other,0.6756713880000014
45,Indiana_Orange,2020,hdpe_bale,aluminum,0.4915509347700002
46,Indiana_Orange,2020,hdpe_bale,cardboard,8.669096170079627
47,Indiana_Orange,2020,hdpe_bale,iron,0.0
48,Indiana_Orange,2020,hdpe_bale,glass,0.41026766679360005
49,Indiana_Orange,2020,hdpe_bale,hdpe,74.492770527
50,Indiana_Orange,2020,hdpe_bale,paper,1.1445664815898304
51,Indiana_Orange,2020,hdpe_bale,pet,0.15202606230000093
52,Indiana_Orange,2020,hdpe_bale,film,0.04185083444890947
53,Indiana_Orange,2020,hdpe_bale,other,0.6418878186000008
54,Indiana_Orange,2020,iron_bale,aluminum,0.0
55,Indiana_Orange,2020,iron_bale,cardboard,0.0
56,Indiana_Orange,2020,iron_bale,iron,29.7971082108
57,Indiana_Orange,2020,iron_bale,glass,0.0
58,Indiana_Orange,2020,iron_bale,hdpe,0.0
59,Indiana_Orange,2020,iron_bale,paper,0.0
60,Indiana_Orange,2020,iron_bale,pet,0.0
61,Indiana_Orange,2020,iron_bale,film,0.0016740333779563799
62,Indiana_Orange,2020,iron_bale,other,0.0
63,Indiana_Orange,2020,aluminum_bale,aluminum,13.108024927199999
64,Indiana_Orange,2020,aluminum_bale,cardboard,0.0
65,Indiana_Orange,2020,aluminum_bale,iron,0.0
66,Indiana_Orange,2020,aluminum_bale,glass,2.5641729174600023
67,Indiana_Orange,2020,aluminum_bale,hdpe,0.0
68,Indiana_Orange,2020,aluminum_bale,paper,0.0
69,Indiana_Orange,2020,aluminum_bale,pet,0.0
70,Indiana_Orange,2020,aluminum_bale,film,0.0
71,Indiana_Orange,2020,aluminum_bale,other,0.0
72,Minnesota_Goodhue,2020,vacuum,aluminum,43.239158655
73,Minnesota_Goodhue,2020,vacuum,cardboard,2983.501947195
74,Minnesota_Goodhue,2020,vacuum,iron,108.0978966375
75,Minnesota_Goodhue,2020,vacuum,glass,1167.457283685
76,Minnesota_Goodhue,2020,vacuum,hdpe,259.43495192999995
77,Minnesota_Goodhue,2020,vacuum,paper,609.9913367201312
78,Minnesota_Goodhue,2020,vacuum,pet,216.195793275
79,Minnesota_Goodhue,2020,vacuum,film,15.55769773627463
80,Minnesota_Goodhue,2020,vacuum,other,8.647831731
81,Minnesota_Goodhue,2020,film_bale,aluminum,0.0
82,Minnesota_Goodhue,2020,film_bale,cardboard,59.6700389439
83,Minnesota_Goodhue,2020,film_bale,iron,0.0
84,Minnesota_Goodhue,2020,film_bale,glass,0.0
85,Minnesota_Goodhue,2020,film_bale,hdpe,0.0
86,Minnesota_Goodhue,2020,film_bale,paper,12.199826734402626
87,Minnesota_Goodhue,2020,film_bale,pet,0.0
88,Minnesota_Goodhue,2020,film_bale,film,15.246543781549137
89,Minnesota_Goodhue,2020,film_bale,other,0.0
90,Minnesota_Goodhue,2020,cardboard_bale,aluminum,0.0
91,Minnesota_Goodhue,2020,cardboard_bale,cardboard,2192.8739311883246
92,Minnesota_Goodhue,2020,cardboard_bale,iron,0.0
93,Minnesota_Goodhue,2020,cardboard_bale,glass,0.0
94,Minnesota_Goodhue,2020,cardboard_bale,hdpe,0.0
95,Minnesota_Goodhue,2020,cardboard_bale,paper,11.95583019971457
96,Minnesota_Goodhue,2020,cardboard_bale,pet,0.0
97,Minnesota_Goodhue,2020,cardboard_bale,film,0.0
98,Minnesota_Goodhue,2020,cardboard_bale,other,0.0
99,Minnesota_Goodhue,2020,glass_bale,aluminum,0.0
100,Minnesota_Goodhue,2020,glass_bale,cardboard,0.0
101,Minnesota_Goodhue,2020,glass_bale,iron,0.0
102,Minnesota_Goodhue,2020,glass_bale,glass,1132.43356517445
103,Minnesota_Goodhue,2020,glass_bale,hdpe,0.0
104,Minnesota_Goodhue,2020,glass_bale,paper,0.0
105,Minnesota_Goodhue,2020,glass_bale,pet,0.0
106,Minnesota_Goodhue,2020,glass_bale,film,0.0
107,Minnesota_Goodhue,2020,glass_bale,other,0.0
108,Minnesota_Goodhue,2020,pet_bale,aluminum,1.297174759649998
109,Minnesota_Goodhue,2020,pet_bale,cardboard,35.816940876076046
110,Minnesota_Goodhue,2020,pet_bale,iron,0.0
111,Minnesota_Goodhue,2020,pet_bale,glass,2.801897480843998
112,Minnesota_Goodhue,2020,pet_bale,hdpe,25.94349519299999
113,Minnesota_Goodhue,2020,pet_bale,paper,1.757507039358046
114,Minnesota_Goodhue,2020,pet_bale,pet,196.73817188025
115,Minnesota_Goodhue,2020,pet_bale,film,0.060986175126196585
116,Minnesota_Goodhue,2020,pet_bale,other,0.43239158655000054
117,Minnesota_Goodhue,2020,hdpe_bale,aluminum,1.2582595168604982
118,Minnesota_Goodhue,2020,hdpe_bale,cardboard,34.02609383227218
119,Minnesota_Goodhue,2020,hdpe_bale,iron,0.0
120,Minnesota_Goodhue,2020,hdpe_bale,glass,2.577745682376481
121,Minnesota_Goodhue,2020,hdpe_bale,hdpe,163.44401971589997
122,Minnesota_Goodhue,2020,hdpe_bale,paper,1.6696316873901438
123,Minnesota_Goodhue,2020,hdpe_bale,pet,0.19457621394749935
124,Minnesota_Goodhue,2020,hdpe_bale,film,0.04878894010095727
125,Minnesota_Goodhue,2020,hdpe_bale,other,0.4107720072225005
126,Minnesota_Goodhue,2020,iron_bale,aluminum,0.0
127,Minnesota_Goodhue,2020,iron_bale,cardboard,0.0
128,Minnesota_Goodhue,2020,iron_bale,iron,105.93593870475
129,Minnesota_Goodhue,2020,iron_bale,glass,0.0
130,Minnesota_Goodhue,2020,iron_bale,hdpe,0.0
131,Minnesota_Goodhue,2020,iron_bale,paper,0.0
132,Minnesota_Goodhue,2020,iron_bale,pet,0.0
133,Minnesota_Goodhue,2020,iron_bale,film,0.0019515576040382919
134,Minnesota_Goodhue,2020,iron_bale,other,0.0
135,Minnesota_Goodhue,2020,aluminum_bale,aluminum,33.55358711628
136,Minnesota_Goodhue,2020,aluminum_bale,cardboard,0.0
137,Minnesota_Goodhue,2020,aluminum_bale,iron,0.0
138,Minnesota_Goodhue,2020,aluminum_bale,glass,16.110910514853018
139,Minnesota_Goodhue,2020,aluminum_bale,hdpe,0.0
140,Minnesota_Goodhue,2020,aluminum_bale,paper,0.0
141,Minnesota_Goodhue,2020,aluminum_bale,pet,0.0
142,Minnesota_Goodhue,2020,aluminum_bale,film,0.0
143,Minnesota_Goodhue,2020,aluminum_bale,other,0.0
144,Virginia_Dinwiddie,2020,vacuum,aluminum,15.308746875
145,Virginia_Dinwiddie,2020,vacuum,cardboard,734.81985
146,Virginia_Dinwiddie,2020,vacuum,iron,30.61749375
147,Virginia_Dinwiddie,2020,vacuum,glass,168.396215625
148,Virginia_Dinwiddie,2020,vacuum,hdpe,122.469975
149,Virginia_Dinwiddie,2020,vacuum,paper,148.6405144254217
150,Virginia_Dinwiddie,2020,vacuum,pet,168.396215625
151,Virginia_Dinwiddie,2020,vacuum,film,2.016167413351388
152,Virginia_Dinwiddie,2020,vacuum,other,4.5926240625000005
153,Virginia_Dinwiddie,2020,film_bale,aluminum,0.0
154,Virginia_Dinwiddie,2020,film_bale,cardboard,14.696397
155,Virginia_Dinwiddie,2020,film_bale,iron,0.0
156,Virginia_Dinwiddie,2020,film_bale,glass,0.0
157,Virginia_Dinwiddie,2020,film_bale,hdpe,0.0
158,Virginia_Dinwiddie,2020,film_bale,paper,2.9728102885084344
159,Virginia_Dinwiddie,2020,film_bale,pet,0.0
160,Virginia_Dinwiddie,2020,film_bale,film,1.9758440650843603
161,Virginia_Dinwiddie,2020,film_bale,other,0.0
162,Virginia_Dinwiddie,2020,cardboard_bale,aluminum,0.0
163,Virginia_Dinwiddie,2020,cardboard_bale,cardboard,540.0925897499999
164,Virginia_Dinwiddie,2020,cardboard_bale,iron,0.0
165,Virginia_Dinwiddie,2020,cardboard_bale,glass,0.0
166,Virginia_Dinwiddie,2020,cardboard_bale,hdpe,0.0
167,Virginia_Dinwiddie,2020,cardboard_bale,paper,2.9133540827382656
168,Virginia_Dinwiddie,2020,cardboard_bale,pet,0.0
169,Virginia_Dinwiddie,2020,cardboard_bale,film,0.0
170,Virginia_Dinwiddie,2020,cardboard_bale,other,0.0
171,Virginia_Dinwiddie,2020,glass_bale,aluminum,0.0
172,Virginia_Dinwiddie,2020,glass_bale,cardboard,0.0
173,Virginia_Dinwiddie,2020,glass_bale,iron,0.0
174,Virginia_Dinwiddie,2020,glass_bale,glass,163.34432915624998
175,Virginia_Dinwiddie,2020,glass_bale,hdpe,0.0
176,Virginia_Dinwiddie,2020,glass_bale,paper,0.0
177,Virginia_Dinwiddie,2020,glass_bale,pet,0.0
178,Virginia_Dinwiddie,2020,glass_bale,film,0.0
179,Virginia_Dinwiddie,2020,glass_bale,other,0.0
180,Virginia_Dinwiddie,2020,pet_bale,aluminum,0.4592624062499997
181,Virginia_Dinwiddie,2020,pet_bale,cardboard,8.821512299250003
182,Virginia_Dinwiddie,2020,pet_bale,iron,0.0
183,Virginia_Dinwiddie,2020,pet_bale,glass,0.4041509175
184,Virginia_Dinwiddie,2020,pet_bale,hdpe,12.246997499999992
185,Virginia_Dinwiddie,2020,pet_bale,paper,0.42826305016252597
186,Virginia_Dinwiddie,2020,pet_bale,pet,153.24055621875002
187,Virginia_Dinwiddie,2020,pet_bale,film,0.00790337626033745
188,Virginia_Dinwiddie,2020,pet_bale,other,0.22963120312499985
189,Virginia_Dinwiddie,2020,hdpe_bale,aluminum,0.44548453406249955
190,Virginia_Dinwiddie,2020,hdpe_bale,cardboard,8.380436684287503
191,Virginia_Dinwiddie,2020,hdpe_bale,iron,0.0
192,Virginia_Dinwiddie,2020,hdpe_bale,glass,0.3718188440999999
193,Virginia_Dinwiddie,2020,hdpe_bale,hdpe,77.15608425
194,Virginia_Dinwiddie,2020,hdpe_bale,paper,0.40684989765439994
195,Virginia_Dinwiddie,2020,hdpe_bale,pet,0.15155659406249988
196,Virginia_Dinwiddie,2020,hdpe_bale,film,0.006322701008269958
197,Virginia_Dinwiddie,2020,hdpe_bale,other,0.2181496429687506
198,Virginia_Dinwiddie,2020,iron_bale,aluminum,0.0
199,Virginia_Dinwiddie,2020,iron_bale,cardboard,0.0
200,Virginia_Dinwiddie,2020,iron_bale,iron,30.005143875
201,Virginia_Dinwiddie,2020,iron_bale,glass,0.0
202,Virginia_Dinwiddie,2020,iron_bale,hdpe,0.0
203,Virginia_Dinwiddie,2020,iron_bale,paper,0.0
