,location,year,bale,material,value
85,Georgia_Atkinson,2020,film_bale,hdpe,0.0
86,Georgia_Atkinson,2020,film_bale,paper,1.5832078723926233
87,Georgia_Atkinson,2020,film_bale,pet,0.0
88,Georgia_Atkinson,2020,film_bale,film,4.672481234866967
89,Georgia_Atkinson,2020,film_bale,other,0.0
90,Georgia_Atkinson,2020,cardboard_bale,aluminum,0.0
91,Georgia_Atkinson,2020,cardboard_bale,cardboard,398.04290439795
92,Georgia_Atkinson,2020,cardboard_bale,iron,0.0
93,Georgia_Atkinson,2020,cardboard_bale,glass,0.0
94,Georgia_Atkinson,2020,cardboard_bale,hdpe,0.0
95,Georgia_Atkinson,2020,cardboard_bale,paper,1.5515437149447708
96,Georgia_Atkinson,2020,cardboard_bale,pet,0.0
97,Georgia_Atkinson,2020,cardboard_bale,film,0.0
98,Georgia_Atkinson,2020,cardboard_bale,other,0.0
99,Georgia_Atkinson,2020,glass_bale,aluminum,0.0
100,Georgia_Atkinson,2020,glass_bale,cardboard,0.0
101,Georgia_Atkinson,2020,glass_bale,iron,0.0
102,Georgia_Atkinson,2020,glass_bale,glass,62.324716265700005
103,Georgia_Atkinson,2020,glass_bale,hdpe,0.0
104,Georgia_Atkinson,2020,glass_bale,paper,0.0
105,Georgia_Atkinson,2020,glass_bale,pet,0.0
106,Georgia_Atkinson,2020,glass_bale,film,0.0
107,Georgia_Atkinson,2020,glass_bale,other,0.0
108,Georgia_Atkinson,2020,pet_bale,aluminum,0.27536693490000097
109,Georgia_Atkinson,2020,pet_bale,cardboard,6.501367438499855
110,Georgia_Atkinson,2020,pet_bale,iron,0.0
111,Georgia_Atkinson,2020,pet_bale,glass,0.1542054835440001
112,Georgia_Atkinson,2020,pet_bale,hdpe,7.3431182639999975
113,Georgia_Atkinson,2020,pet_bale,paper,0.22807692609688157
114,Georgia_Atkinson,2020,pet_bale,pet,91.8807672783
115,Georgia_Atkinson,2020,pet_bale,film,0.018689924939467875
116,Georgia_Atkinson,2020,pet_bale,other,0.22947244574999992
117,Georgia_Atkinson,2020,hdpe_bale,aluminum,0.2671059268530005
118,Georgia_Atkinson,2020,hdpe_bale,cardboard,6.17629906657487
119,Georgia_Atkinson,2020,hdpe_bale,iron,0.0
120,Georgia_Atkinson,2020,hdpe_bale,glass,0.14186904486048002
121,Georgia_Atkinson,2020,hdpe_bale,hdpe,46.2616450632
122,Georgia_Atkinson,2020,hdpe_bale,paper,0.21667307979203798
123,Georgia_Atkinson,2020,hdpe_bale,pet,0.09087108851699988
124,Georgia_Atkinson,2020,hdpe_bale,film,0.014951939951574303
125,Georgia_Atkinson,2020,hdpe_bale,other,0.21799882346250055
126,Georgia_Atkinson,2020,iron_bale,aluminum,0.0
127,Georgia_Atkinson,2020,iron_bale,cardboard,0.0
128,Georgia_Atkinson,2020,iron_bale,iron,0.59662835895
129,Georgia_Atkinson,2020,iron_bale,glass,0.0
130,Georgia_Atkinson,2020,iron_bale,hdpe,0.0
131,Georgia_Atkinson,2020,iron_bale,paper,0.0
132,Georgia_Atkinson,2020,iron_bale,pet,0.0
133,Georgia_Atkinson,2020,iron_bale,film,0.0005980775980629724
134,Georgia_Atkinson,2020,iron_bale,other,0.0
135,Georgia_Atkinson,2020,aluminum_bale,aluminum,7.12282471608
136,Georgia_Atkinson,2020,aluminum_bale,cardboard,0.0
137,Georgia_Atkinson,2020,aluminum_bale,iron,0.0
138,Georgia_Atkinson,2020,aluminum_bale,glass,0.8866815303780009
139,Georgia_Atkinson,2020,aluminum_bale,hdpe,0.0
140,Georgia_Atkinson,2020,aluminum_bale,paper,0.0
141,Georgia_Atkinson,2020,aluminum_bale,pet,0.0
142,Georgia_Atkinson,2020,aluminum_bale,film,0.0
143,Georgia_Atkinson,2020,aluminum_bale,other,0.0
144,Minnesota_Hubbard,2020,vacuum,aluminum,16.6377729
145,Minnesota_Hubbard,2020,vacuum,cardboard,1148.0063301
146,Minnesota_Hubbard,2020,vacuum,iron,41.59443225
147,Minnesota_Hubbard,2020,vacuum,glass,449.2198683
148,Minnesota_Hubbard,2020,vacuum,hdpe,99.8266374
149,Minnesota_Hubbard,2020,vacuum,paper,234.71542109072465
150,Minnesota_Hubbard,2020,vacuum,pet,83.1888645
151,Minnesota_Hubbard,2020,vacuum,film,5.986366290063084
152,Minnesota_Hubbard,2020,vacuum,other,3.32755458
153,Minnesota_Hubbard,2020,film_bale,aluminum,0.0
154,Minnesota_Hubbard,2020,film_bale,cardboard,22.960126602
155,Minnesota_Hubbard,2020,film_bale,iron,0.0
156,Minnesota_Hubbard,2020,film_bale,glass,0.0
157,Minnesota_Hubbard,2020,film_bale,hdpe,0.0
158,Minnesota_Hubbard,2020,film_bale,paper,4.694308421814493
159,Minnesota_Hubbard,2020,film_bale,pet,0.0
160,Minnesota_Hubbard,2020,film_bale,film,5.866638964261822
161,Minnesota_Hubbard,2020,film_bale,other,0.0
162,Minnesota_Hubbard,2020,cardboard_bale,aluminum,0.0
163,Minnesota_Hubbard,2020,cardboard_bale,cardboard,843.7846526235
164,Minnesota_Hubbard,2020,cardboard_bale,iron,0.0
165,Minnesota_Hubbard,2020,cardboard_bale,glass,0.0
166,Minnesota_Hubbard,2020,cardboard_bale,hdpe,0.0
167,Minnesota_Hubbard,2020,cardboard_bale,paper,4.600422253378203
168,Minnesota_Hubbard,2020,cardboard_bale,pet,0.0
169,Minnesota_Hubbard,2020,cardboard_bale,film,0.0
170,Minnesota_Hubbard,2020,cardboard_bale,other,0.0
171,Minnesota_Hubbard,2020,glass_bale,aluminum,0.0
172,Minnesota_Hubbard,2020,glass_bale,cardboard,0.0
173,Minnesota_Hubbard,2020,glass_bale,iron,0.0
174,Minnesota_Hubbard,2020,glass_bale,glass,435.74327225099995
175,Minnesota_Hubbard,2020,glass_bale,hdpe,0.0
176,Minnesota_Hubbard,2020,glass_bale,paper,0.0
177,Minnesota_Hubbard,2020,glass_bale,pet,0.0
178,Minnesota_Hubbard,2020,glass_bale,film,0.0
179,Minnesota_Hubbard,2020,glass_bale,other,0.0
180,Minnesota_Hubbard,2020,pet_bale,aluminum,0.49913318700000175
181,Minnesota_Hubbard,2020,pet_bale,cardboard,13.781815992850511
182,Minnesota_Hubbard,2020,pet_bale,iron,0.0
183,Minnesota_Hubbard,2020,pet_bale,glass,1.07812768392
184,Minnesota_Hubbard,2020,pet_bale,hdpe,9.982663739999992
185,Minnesota_Hubbard,2020,pet_bale,paper,0.6762620712465974
186,Minnesota_Hubbard,2020,pet_bale,pet,75.70186669499999
187,Minnesota_Hubbard,2020,pet_bale,film,0.023466555857047308
188,Minnesota_Hubbard,2020,pet_bale,other,0.16637772900000014
189,Minnesota_Hubbard,2020,hdpe_bale,aluminum,0.48415919139000074
