,location,year,bale,material,value
0,Maryland_Dorchester,2020,vacuum,aluminum,85.301698365
1,Maryland_Dorchester,2020,vacuum,cardboard,767.7152852849998
2,Maryland_Dorchester,2020,vacuum,iron,207.5674660215
3,Maryland_Dorchester,2020,vacuum,glass,454.94239128
4,Maryland_Dorchester,2020,vacuum,hdpe,312.772894005
5,Maryland_Dorchester,2020,vacuum,paper,1972.0336847145652
6,Maryland_Dorchester,2020,vacuum,pet,341.20679346
7,Maryland_Dorchester,2020,vacuum,film,50.98758047135328
8,Maryland_Dorchester,2020,vacuum,other,42.6508491825
9,Maryland_Dorchester,2020,film_bale,aluminum,0.0
10,Maryland_Dorchester,2020,film_bale,cardboard,15.354305705699996
11,Maryland_Dorchester,2020,film_bale,iron,0.0
12,Maryland_Dorchester,2020,film_bale,glass,0.0
13,Maryland_Dorchester,2020,film_bale,hdpe,0.0
14,Maryland_Dorchester,2020,film_bale,paper,39.440673694291306
15,Maryland_Dorchester,2020,film_bale,pet,0.0
16,Maryland_Dorchester,2020,film_bale,film,49.967828861926215
17,Maryland_Dorchester,2020,film_bale,other,0.0
18,Maryland_Dorchester,2020,cardboard_bale,aluminum,0.0
19,Maryland_Dorchester,2020,cardboard_bale,cardboard,564.2707346844749
20,Maryland_Dorchester,2020,cardboard_bale,iron,0.0
21,Maryland_Dorchester,2020,cardboard_bale,glass,0.0
22,Maryland_Dorchester,2020,cardboard_bale,hdpe,0.0
23,Maryland_Dorchester,2020,cardboard_bale,paper,38.65186022040548
24,Maryland_Dorchester,2020,cardboard_bale,pet,0.0
25,Maryland_Dorchester,2020,cardboard_bale,film,0.0
26,Maryland_Dorchester,2020,cardboard_bale,other,0.0
27,Maryland_Dorchester,2020,glass_bale,aluminum,0.0
28,Maryland_Dorchester,2020,glass_bale,cardboard,0.0
29,Maryland_Dorchester,2020,glass_bale,iron,0.0
30,Maryland_Dorchester,2020,glass_bale,glass,441.29411954159997
31,Maryland_Dorchester,2020,glass_bale,hdpe,0.0
32,Maryland_Dorchester,2020,glass_bale,paper,0.0
33,Maryland_Dorchester,2020,glass_bale,pet,0.0
34,Maryland_Dorchester,2020,glass_bale,film,0.0
35,Maryland_Dorchester,2020,glass_bale,other,0.0
36,Maryland_Dorchester,2020,pet_bale,aluminum,2.5590509509499952
37,Maryland_Dorchester,2020,pet_bale,cardboard,9.216421999846432
38,Maryland_Dorchester,2020,pet_bale,iron,0.0
39,Maryland_Dorchester,2020,pet_bale,glass,1.0918617390719998
40,Maryland_Dorchester,2020,pet_bale,hdpe,31.277289400499967
41,Maryland_Dorchester,2020,pet_bale,paper,5.6818234523996125
42,Maryland_Dorchester,2020,pet_bale,pet,310.4981820486
43,Maryland_Dorchester,2020,pet_bale,film,0.19987131544770498
